Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Puzzle Quest Magic: The Gathering,Imagineer,THQNAKonamiPALImagineerJP,1-Jun-98,n64,"Magic the Gathering blended with the color matching gameplay of Puzzle Quest. Match gems to collect mana, cast spells and summon creatures.",3030-51214,51214,0,12/15/2015,https://www.giantbomb.com/puzzle-quest-magic-the-gathering/3030-51214/,,
Grand Prix Rock'n Racing,Ubi Soft Paris,Ubi Soft,Sep-99,n64,Formula racing game from EnjoyUp,3030-54350,54350,0,9/15/2016,https://www.giantbomb.com/grand-prix-rockn-racing/3030-54350/,,
Rally Challenge,Genki,ImagineerJPSouthPeak Interactive/XicatNA,30-Jun-00,n64,,3030-13905,13905,0,,https://www.giantbomb.com/rally-challenge/3030-13905/,,
Rampage 2: Universal Tour,Avalanche Software,Midway Home EntertainmentNAGT InteractivePAL,Mar-99,n64,Rampage 2: Universal Tour is the console follow-up to the arcade smash game Rampage: World Tour.,3030-9382,9382,0,,https://www.giantbomb.com/rampage-2-universal-tour/3030-9382/,ESRB: T,
Rampage World Tour,Game Refuge Inc.Saffire,Midway Home EntertainmentNAGT InteractivePAL,30-Mar-98,n64,"Destroy buildings, wreck cars, eat people.  If this is what you are looking for in a game, you are in luck.",3030-12331,12331,0,9/30/1997,https://www.giantbomb.com/rampage-world-tour/3030-12331/,ESRB: E10+," <div> Overview  : Rampage World Tour is the sequel to the classic NES and arcade game Rampage. Rampage World Tour was released in 1997 on the Sega Saturn and Sony PlayStation, and the PC, with poor reviews, but good sales. Later on, the game was ported to various consoles including the Nintendo 64, Game Boy Color, and even has a downloadable version available on the PS3's PlayStation Network.   </div>  <div> Gameplay :  Poor civilians, don't know whats going to happen...The game has you choosing between three different monsters. George is an ape-like monster that resembles King Kong, Lizzie is a lizard, and Ralph is a werewolf. All of these monsters were once humans who were mutated during experiments at a company called ""Scum Labs."" To get revenge against ""Scum Labs,"" you need to travel through various cities, destroying planes, tanks, helicopters, and buildings to advance. You must also destroy the ""Scum Labs"" building that is at the end of each level. The gameplay consists of players climbing up and down buildings, destroying each level until they collapse. Along the way, various enemies try to stop you, including tanks, helicopters, soldiers, and police cars. They will throw grenades, shoot missiles, tank shells, and bullets at you, to try and turn you back to your human form. After taking enough damage from either enemies, or falling off buildings, you will revert back to a small human, and run off to the left of the screen while covering their naked bodies with their hands. The game also added 2 player co-op where players can team up with a friend, to wreak havoc with two monsters. This is George, he is angry, he is an ape.Some of the improvements from the original include semi-3D backgrounds, as well as power ups for your characters. One of the main power ups is eating a toxic waste can, which turns your character into a flying monster, until the level ends. </div> "
Rat Attack,Pure Entertainment,Mindscape,12-Sep-00,n64,Rat Attack allows players to fervently chase and kill rats through many different colorful levels.,3030-16953,16953,0,8/31/1999,https://www.giantbomb.com/rat-attack/3030-16953/,," <div> Overview : Rat Attack was released on September, 2000 for the Playstation and Nintendo 64. It's gameplay revolves around attacking rats that are spreading throughout the level. You must avoid traps and dogs to kill the rats and clear the stage. There are many power ups in the game such as invincibility and the ability to freeze fleeing rats. The game was not a particular hit for either platform, but still is very unique in premise. </div> "
Rayman 2: The Great Escape,Ubi Pictures,Ubi Soft,6-Nov-99,n64,Help to repair the damage done to the world and repel an evil pirate invasion in this critically acclaimed platforming adventure.,3030-609,609,0,4/10/1999,https://www.giantbomb.com/rayman-2-the-great-escape/3030-609/,ESRB: E," <div> Overview : Rayman 2: The Great Escape is a 3D platformer that was developed by Ubisoft and first released in 1999. Players take control of Rayman, a limbless hero whose main attack is shooting his fists and energy balls at his opponents. This is the first Rayman game to be made in 3D. Rayman's powers include shooting his fists (which take the form of energy balls) and his helicopter ears (which allow him to descend slowly, and sometimes fly). He is also able to grab onto ledges and attain new heights via the use of purple lums. Lastly, he is able to innovate, riding a plum down a river of lava, riding on the back of a rocket, flying with a flaming gunpower barrel, and hitching a ride attached to a swamp creature named Ssssam.Unlike its predecessor, Rayman 2's visual design and score strike a much more dark and dreary tone, while still not taking away the mystifying and vibrant universe that is iconic to the Rayman games. Levels range from marshlands to oceanic bays to crazy dreamworlds to lava temples and robot pirate ship grottoes.Rayman 2 received positive reviews from critics, who highlighted the fact that the series managed to make the transition from 2D to 3D much more seamlessly than a number of other similar platformers. </div>  <div> Plot : On a dark and stormy night, Ly the Fairy reaches out to Rayman for help. The world is in trouble. Admiral Razorbeard and his pirate army have taken over most of the world and enslaved its inhabitants. Unfortunately, Rayman has been captured and put aboard the pirate ship Buccaneer. His friend Globox is thrown into a room with him shortly after, and Rayman remarks to his old friend that he feels weak, and that this may be the end. Luckily, Globox had been given a silver lum by Ly, which in turn he gives to Rayman. It rejuvenates him, and together they bust out of the ship.After a long trip down, Rayman lands in the Woods of Light, one of the few places the pirates have not infiltrated. Globox is nowhere to be found, but Rayman does come into contact with Murfy, who provides him with guidance. He also finds the Teensies, who show him the way to the Hall of Doors. Once there, Rayman travels to the Fairy Glade, where he saves a weakened Ly the Fairy from the pirates. He then learns how dire the situation really is. The pirates hold sway in almost all corners of the world. Razorbeard has also split the heart of the world into 1000 lums and scattered them throughout.To set things right, Rayman needs to find the 4 masks of power. Only by having these 4 masks can he summon Polokus, the creator of the world, who will then be able to destroy the pirates once and for all. As soon as Rayman gets this information, he is off. Along the way, he will encounter much resistance, many challenges, and a pirate captain bent on the destruction of his world. No problem, for a hero without limbs. </div>  <div> Characters : Rayman 2 features an array of imaginative and colorful characters, perfectly complementing the exciting gameplay experience. </div>  <div> Releases : Rayman is an unsuspecting hero who is dragged into the fight against the pirates, while also being responsible for repairing the damage that has been done to the world through the collection of items known as lums. Clearly the plight of the world is close to his heart, as he is friends to a number of the creatures of the forest including Globox and Ly.  </div>  <div> Game Boy Color Version (Rayman 2 Revolution) : Globox is a dear friend of Rayman that you first encounter at the beginning of the game as you help him to escape from his pirate cell. Despite being a huge coward, Globox can often be useful throughout the game with his ability to use magic, an example being his special ‘rain-dance’.  </div>  <div> PC Requirements : Following the tradition of many games in the platforming genre, Rayman 2 also features a tutorial fairy, known as Murfy. Responsible for introducing the player to various game mechanics and items, Murfy clearly is an important ally for those new to the game. Murfy can be summoned by the player standing on his corresponding tile.  </div> "
Razor Freestyle Scooter,Titanium Studios,Crave Entertainment,27-Nov-01,n64,Battle friend-kidnapping robots by performing tailwhips and ollies.,3030-5345,5345,0,12/11/2000,https://www.giantbomb.com/razor-freestyle-scooter/3030-5345/,ESRB: E," <div> Overview : Razor Freestyle Scooter was developed by Shaba Games, and published by Crave Entertainment. It was released on December 11, 2000 on the Nintendo 64, Dreamcast and Playstation. The game revolves around the titular scooters that were popular in the early 2000s. The game is a Tony Hawk Pro Skater clone, the difference being the game was made simpler for the play-ability for younger children. The storyline consisted of robots kidnapping the player's friends.It is particularly notable for featuring UFC fighter Tito Ortiz as an unlockable and playable character.The game was originally released as a rental-only at Blockbuster video rental stores; going on sale a few weeks later. </div> "
Re-Volt,Acclaim Studios London,Acclaim Entertainment,18-Aug-99,n64,"Since its release in 1999, Re-Volt steadily shows its strength with fast &amp; addictive gameplay. Including numerous tracks, unique cars, special weapons and even a track editor, the official release package features everything an RC Car racing fan could wish for.",3030-5037,5037,0,7/31/1999,https://www.giantbomb.com/re-volt/3030-5037/,," <div> Overview : Re-Volt is a racing game in which players take control of a variety of remote controlled cars (24 in total) and race them on 14 tracks featuring realistic environments such as museums, toy stores, gardens, and suburban neighborhoods. Like many similar games, there were powerups your car could collect to either give yourself an advantage or slow down an opponent. </div>  <div> Game Modes : The game features six different single player game modes: </div>  <div> Cars : The player completes multiple races in order to unlock the next three tracks, earning points towards a total based on their finishing position in each race. Although you have a fixed number of laps to race you are allowed to choose the difficulty of the game. There are four different championships to beat: bronze, silver, gold and platinum. Each victory in a championship unlocks new cars and the next set of tracks. </div>  <div> Multiplayer : In this mode you can drive the tracks reverse, mirrored or both at the same time against the computer AI. </div>  <div> Customization : In this mode, there are no opponents or obstacles, and the player is free to drive around the track at his or her leisure. There is a star hidden in a hard-to-reach location of each level. Collecting these stars unlocks more vehicles. </div>  <div> Re-Volt Online : This mode gives the player a set challenge lap time to beat. By attaining these challenge times, players unlock new cars. </div>  <div> Heritage : The stunt arena is a map exclusive to this mode, and features a loop, many jumps, and a large halfpipe. There are twenty stars hidden throughout the map, and the Clockwork Carnage mode is unlocked when all of the stars have been collected. </div>  <div> iOS : In Clockwork Carnage, the player races against twenty-nine other AI opponents. Every player uses the same small, very light, wind-up car. </div> "
Ready 2 Rumble Boxing,Midway Studios San DiegoPoint of View,Midway Home EntertainmentNAMidway GamesPAL,31-Oct-99,n64,"Ready 2 Rumble is Midway's drolly take on the video game boxing genre. It combines accessible arcade-like gameplay, with simulation-like skill building to deliver a slapstick and fun boxing entry.",3030-19836,19836,0,9/8/1999,https://www.giantbomb.com/ready-2-rumble-boxing/3030-19836/,ESRB: E," <div> Overview : Ready 2 Rumble Boxing was Midway's 1999 take on the arcade boxing game, channeling the spirit of Nintendo's classic Punch-Out!! It featured a roster of colorful characters, each with a distinct personality and fighting style, such as Afro Thunder or Boris ""The Bear"" Knokimov. If a player could land enough hits to spell out the word ""RUMBLE,"" then they would be able to unleash a powerful special move called a ""Rumble Flurry.""Ready 2 Rumble was followed by a late 2000 sequel called Ready to Rumble Boxing: Round 2, which featured celebrity guest characters, ranging from Michael Jackson to both Bill and Hillary Clinton. </div>  <div> Game Modes : The arcade mode is were players can pick a fighter to go through a series of fighters to unlock other characters. </div>  <div> Playable Characters : The Championship Mode is where players can pick a fighter and go through several modes - ""Train Boxer,"" ""Title Fight,"" ""Prize Fight,"" ""Exhibition Fight,"" ""Trade Boxer.""The player can train a fighter in the ""Train Boxer"" mode, the mode if where the player can built up certain attribute of the fighter.""Title Fight"" is where the player can move their character up in the ranks.""Prize Fight"" is where the player can earn money from fights that the player can participate in. At first, the player can bet a certain amount of money before the fight. When the player wins or loses, the player will either win or lose the amount of money that the player bet. The money won is use for purchase gym equipment for the ""Train Boxer"" mode.The player can test the player's fighter attributes in the ""Exhibition Fight.""If the player wants to play the Championship Mode with another fighter, the player can trade his or her boxer in the ""Trade Boxer"" mode. </div> "
Ready 2 Rumble Boxing: Round 2,Point of View,Midway Home Entertainment,13-Nov-00,n64,"Ready 2 Rumble Boxing: Round 2 is a boxing video game developed and published by Midway, it is the sequel to Ready 2 Rumble Boxing.",3030-11649,11649,0,1/12/2000,https://www.giantbomb.com/ready-2-rumble-boxing-round-2/3030-11649/,ESRB: T," <div> Game Modes : This mode is where the player can pick a character and face off against other fighters to unlock other characters. </div>  <div> Playable Characters : This mode is where the player can built up a fighters attribute and have him or her go against other fighters. The player can have his or her character go through various modes such as: ""Train Boxer,"" ""Prize Fight,"" ""Title Fight.""The training mode is where the player can have his or her character go through several mini-games to built up certain attribute.""Prize Fight"" is where the player can earn cash to purchase more items for the gym that the fighter trains in.The player can also move his or her fighter up in the ranks in the ""Title Fight"" mode. </div> "
Resident Evil Village,Capcom Production Studio 4Angel StudiosCapcom Production Studio 3Factor 5,CapcomNA/JPVirgin InteractiveEU,31-Oct-99,n64,"After a disturbing encounter with Chris Redfield, Ethan Winters must rescue his daughter in a village overrun with mutant creatures in the follow-up to Resident Evil 7: Biohazard.",3030-78967,78967,0,5/7/2021,https://www.giantbomb.com/resident-evil-village/3030-78967/,ESRB: M," <div> Overview : Resident Evil Village is a survival horror game released on May 6, 2021 by Capcom. Village is a direct sequel to Resident Evil 7 biohazard that features the same protagonist and First-Person Perspective.  </div> "
Ridge Racer 64,Nintendo Software Technology,Nintendo,14-Feb-00,n64,"Ridge Racer 64 gives Nintendo 64 owners a chance to jump into the world of Ridge Racer. Besides exclusive tracks, this edition contains races from the PlayStation Ridge Racer series, with improved graphics and a new set of cars.",3030-1880,1880,0,2/14/2000,https://www.giantbomb.com/ridge-racer-64/3030-1880/,ESRB: E," <div> Features : Ridge Racer 64 contains 3 environments, each having 3 variations, making for a total of nine tracks. Reverse versions of each track are available. 25 fictional cars are included, 4 of which are unlocked from the beginning. Additional cars may be unlocked by playing in the car attack mode, where the player faces off against the car they would like to unlock in a 1 vs 1 duel. </div>  <div> Cars : Grading Scale (The # is approximately how far the performance bar is in game, 100 would mean the ability is maxed out):Very low: 0-20%Low: 20-40%Medium: 40-60%High: 60-80%Very High: 80-99%Max: 100% </div>  <div> Nintendo DS Port : F/A RacingSpeed: MediumAcceleration: MediumHandling: MediumGrip: MediumA decent car, but there isn't much reason why you should use it compared to the other 3 starter cars. </div> "
Road Rash 64,Pacific Coast Power & Light,THQ,27-Sep-99,n64,Road Rash 64 is a vehicular combat game in the Road Rash franchise,3030-18864,18864,0,9/22/1999,https://www.giantbomb.com/road-rash-64/3030-18864/,," <div> Overview : Road Rash 64 is the fifth installment in the  Road Rash franchise and the only installment to come out for a  Nintendo home console. It is also the only Road Rash game not developed or published by  Electronic Arts.Keeping the same mantra of previous Road Rash games, races consist of high-speed motorcycles and violent battles among riders.The game was developed by  Pacfic Coast Power & Light, published by  THQ and released on September 22, 1999. The initial development of the game was expected to be a port of  Road Rash 3D from the  Playstation (which had come out a year earlier), but ended up being a much more arcade-like experience focused on the battles between riders (with power-ups and more elaborate weapons) rather than the racing aspect that its Playstation brother was known for. While most reviewers found the gameplay to be highly enjoyable, the game's graphics were commonly regarded as ""poor"". </div>  <div> Gameplay : Going through a variety of locales, the object of the game is to win races and gain money to buy better motorcycles. Central to the racing is vehicular combat, where you can use either weapons or your bike to knock other riders off of their bikes. Weapons can be stolen from the attacker by hitting the attack button with no weapon equipped while being attacked by a rider with a weapon. Being knocked off your bike would result in a few seconds of delay before respawning. While the gameplay is very open and almost all areas are drivable, if you crash while cutting across the map, you will get a message ""Cheaters never prosper"" and are spawned at an undesirable spot of the road.Being hit results on your health bar going down, and losing all health would cause you to fall of your bike. Below that health bar is a bike health bar, crashing too many times will bring this bar down, and once it runs out you fail the race.Police will often chase you during races, at which point you can either knock them off their bikes or ignore them, however they do have powerful nightsticks that they will use to knock you off your bike. If a policeman knocks you off your bike, you are busted and lose the race.Races often have the opposing riders grouped into gangs that will help each other by knocking out other riders. Eventually you join a gang of your own, who do not hit you unless you hit them too often. </div>  <div> Bonus Content : A hidden game mode allows the player to race with scooters. While they may not be fast, it allows you to focus much more attention on attacking the AI, and the slower speed and ridiculous look of the riders on these bikes adds a comedic aspect to the races.The final bike that you can buy is extremely powerful and has a top speed of over 300 miles per hour. These bikes can only be raced on specific track layouts due to their power, listed as ""Insanity"" in the game. Accelerating too quickly will cause you to do a hard wheelie, often causing you to crash. The increased frequency of wrecks on these high-speed bikes typically will cause the player to ""damage out"" substantially faster than in the standard game types. </div> "
Roadsters,Titus Interactive,Titus Software,30-Nov-99,n64,"Roadsters is a racing game for the Nintendo 64, PlayStation, Dreamcast, and Game Boy Color released in 1999 by developers Titus Software and
Published also by Titus Software. It features mutltiplayer and rumble support.",3030-25254,25254,0,12/18/1999,https://www.giantbomb.com/roadsters/3030-25254/,,
Robotron 64,Player 1,Crave EntertainmentGT InteractivePAL,5-Jan-98,n64,"A Nintendo 64 port of Robotron X, an update of the arcade classic Robotron 2084 that was released on PS1 and PC a month earlier.",3030-10858,10858,0,,https://www.giantbomb.com/robotron-64/3030-10858/,ESRB: T," <div> Overview : Robotron 64 is a single player Action game, developed by Player 1 and Published by Crave Entertainment, released Jan 6th 1998. Robotron 64 is a port of the original Robotron X which was earlier released for the PC and PS1. </div>  <div> Story : You are a scientist trapped in another dimension, Robotron is a mutated robot attempting to save the last human family while defending against evil robots trying to kill the last human family. </div>  <div> Gameplay : Regarding its control scheme Robotron 64 kept to its predecessor's control scheme where in which you control the movements with one control and attack with the other, there is also the option of using just the one control and using the C buttons as that other control. </div> "
Rocket: Robot on Wheels,Sucker Punch Productions,Ubi Soft,31-Oct-99,n64,"Rocket is a robot. He has a wheel that he rolls around on. So really, the title is misleading if you were hoping for more than one wheel.",3030-7804,7804,0,11/17/1999,https://www.giantbomb.com/rocket-robot-on-wheels/3030-7804/,ESRB: E," <div> Premise : Rocket belongs to a man named Dr. Gavin, who despite apparently having a doctorate, has spent his time designing and funding the construction of Whoopie World, a fantastical amusement park. As Gavin attends a party on the eve of the park's opening, Rocket is instructed to watch after the park's mascots. Hijinks ensue as Jojo the raccoon, one of the park's mascots, kidnaps the park's namesake mascot, Whoopie the walrus. Jojo escapes Rocket with a well placed mallet to the head and teleportsdown to the park, with Whoopie as his captive. Rocket gives chase and spends the rest of the game attempting to rescue Whoopie by collecting tickets and tokens while trying to fix the various machines of the park.Like any game that stars a robot in an amusement park, you spend a large portion of your time fighting classic enemies such as: out of control robots, evil robotic clowns, and giant robot bees.  </div>  <div> Rocket's Abilities : At the start of the game, Rocket possesses very little in the way of abilities: only the knowledge of how to jump and how to hold onto objects with a tractor beam. Over the course of the game, Rocket can gain four special moves. Each move can be acquired by collecting a certain number of Tinker Tokens within the various game worlds before seeking out the repair bot Tinker at one of his many repair stations in Whoopie World. These abilities included:   Rocket's tractor beam: One of the game's unique features.Slam Jump (Use to slam/smash objects)   Rocket Jump (Double-Jump) Freeze Ray (Creates ice platforms in water and attacks enemies)   Grapple (Pick up objects at a distance and swing from distant objects)  </div>  <div> Collectibles : Like many 3D platformers on the Nintendo 64, Rocket: Robot on Wheels was designed to include several different collectibles for the player to pick up along the course of the adventure, most of which were necessary for progressing through the game.   Tickets: Like   Super Mario 64's stars,   Banjo-Kazooie's Jiggies and   Donkey Kong's golden bananas, tickets can be collected within each of the game's worlds and are used to unlock later areas once enough have been collected. There are 12 tickets contained in each world for a total of 84 in the game, with most tickets attainable within the same trip inside a level if the player persists. Upon pausing the game, the player can select which tickets they are missing from the menu to gain a short clue on the ticket's whereabouts. Tinker Tokens: Similar to the   coins of Super Mario 64 or   notes of Banjo-Kazooie, there are a total of 200 Tinker Tokens to be collected within each level. Collect all 200 and the player gains a Ticket, although the secondary and perhaps more important use of the tokens is within the game's hub world, where they can be used to pay for new abilities and upgrades for Rocket. There are three varieties of Tinker Token - silver, gold and purple which earn you one, five and ten tokens respectively, in similar fashion to the different colored coins in Super Mario 64. Machine Parts: Collect each part within a world and return it to the machine's control panel to activate a machine. This gives Rocket a ticket and access to a new area that likely contains another ticket.  Booster Packs: These come in the form of a large, golden atom and are like the   extra honeycomb pieces in Banjo-Kazooie.  There are two in Whoopie World and one in all other levels. Picking one up will extend your health by one unit immediately.  </div>  <div> Vehicles : One of Rocket's more unique additions is that of its vehicles. The player can use these contraptions to travel or solve puzzles. Each vehicle requires a certain number of Tinker Tokens to operate, and excluding Whoopie World, each world has at least one vehicle.    Dune Dog - The first vehicle of the game, located in Clowny Island. Requires 50 Tinker Tokens to operate. A   hot dog car which can be used to race around the island in high speed. Hoversplat - The first vehicle available in Paint Misbehavin'. Requires 125 Tinker Tokens. The Hoversplat hovers around the world and uses its   cannon to fire blobs of different colored paint at various objects. Finbot - The second vehicle of Paint Misbehavin'. Requires 175 Tokens. The dolphin-shaped Finbot allows Rocket to swim through water at top speeds. Beamlift - A strange monster truck shaped contraption used in Mine Blowing. Requires 325 Tokens. The Beamlift is equipped with more powerful version of Rocket's tractor beam, able to lift and shift large crates. No, the Shag Flyer does not help you pick up chicks.Shag Flyer - A   magic carpet with a vase on top for Rocket to sit in, found at the start of Arabian Flights. Requires 475 Tokens. The Shag Flyer can fly through the world, and use is practically mandatory to get anything done. Glider Bike - A motorcycle with retractable bat wings found in Pyramid Scheme. Requires 750 Tokens. The Glider Bike is arguably the most difficult vehicle to control in the game. Spider Rider - A spider-like boat found in Food Fright. Requires 850 Tokens. A spider vehicle with the ability to crawl over the top of extremely harmful liquids.  </div>  <div> Worlds :  Welcome to Clowny Island!Rocket is a smaller platformer than most of those on the Nintendo 64, as evidenced by the 84 tickets to collect and the presence of only seven worlds to traverse, including the   overworld. However, most of the worlds shy away from the typical forest, lava and ice worlds typical of most platformers of the day in favor of more novel themes. These worlds also manage to keep true to the theme of the Whoopie World theme park, in that each world is actually just a smaller portion of a Disney World-like-place. Throughout the game Rocket will go behind the basic exterior of each world, showcasing the mechanical gizmos that keep everything together as an attraction. The levels include:   Whoopie World - Hub world where the rest of the levels can be accessed from, appears similar in appearance to a circus.  Clowny Island - A small island containing a few sideshow attractions and a   roller coaster. Based off the famous Coney Island amusement park.  Paint Misbehavin' - A world with Roman-themed architecture, as well a recurring theme of painting things different colors. Mine Blowing - A mine with bombable walls housing secret passageways and a minecart ride. Arabian Flights - An Arabian-themed city high above the clouds, where one uses a magic carpet vehicle to travel from place to place. Pyramid Scheme - An Aztec pyramid situated in the middle of forests and lava; Jojo has created a mirror world of lava and ash to the world's lush jungle. Food Fright - A world based completely around junk food, specifically sweets such as marshmallows, candy canes,   chocolate and   ice cream.     </div>  <div> Awards : Nintendo Power awarded Rocket: Robot on Wheels the title: ""18th Greatest Nintendo 64 Game of All Time."" </div> "
Rugrats in Paris,Avalanche Software,THQ,12-Nov-00,n64,"Rugrats in Paris follows the Rugrats on their big adventure to France. Play as Tommy, Chuckie, and even Reptar as you make new adventures.",3030-8046,8046,0,11/12/2000,https://www.giantbomb.com/rugrats-in-paris/3030-8046/,ESRB: E," <div> Overview :  The park is ready to be exploredRugrats in Paris is a game based on the movie of the same name. It was developed by KnowWonder, and was published by Mattel. The babies travel to Paris on a vacation, and meet new adventures along the way. The entire cast is in the game, Tommy, Chuckie, Phil and Lil, Angelica, and even Reptar the dinosaur. The game consists of games like  mini-golf,  and of course, exploration. It is available for the Nintendo 64 and the PC, though the PC version is quite different from the Nintendo 64 version. </div> "
Rugrats: Scavenger Hunt,Realtime Associates,THQ,29-Jun-99,n64,Rugrats: Scavenger Hunt is an N64 game released on June 29th 1999 and is a video game board game published by THQ. In the UK it is known as Rugrats: Treasure Hunt,3030-21658,21658,0,6/29/1999,https://www.giantbomb.com/rugrats-scavenger-hunt/3030-21658/,,
Rush 2: Extreme Racing USA,Atari Games,Midway Home EntertainmentNAGT InteractivePAL,10-Nov-98,n64,"A console-only sequel to the over-the-top street racing game San Francisco Rush: Extreme Racing, with a variety of new tracks from throughout the United States and a new assortment of customizable vehicles.",3030-1221,1221,0,11/10/1998,https://www.giantbomb.com/rush-2-extreme-racing-usa/3030-1221/,ESRB: E," <div> Overview : The Rush series was known as the time for its big jumps. Rush 2 is no different!Rush 2: Extreme Racing USA (known in-game as Rush 2) is an over-the-top street racing game developed and published by Midway Home Entertainment for the Nintendo 64 in both North America (on November 10, 1998) and Europe (on February 4, 1999).A console-only sequel to San Francisco Rush: Extreme Racing, Rush 2 builds on the original game's Nintendo 64 port with a variety of new circuits throughout the United States (with the only returning track being The Rock). It also features a new variety of customizable vehicles (with a new vehicle durability system) and a dedicated Stunt track (which features an open playground for performing stunt jumps and uses its own dedicated scoring system).The game also includes product placement for the Mountain Dew brand of soft drinks, as collecting four Mountain Dew cans hidden throughout the game unlocks a hidden branded car. </div>  <div> Tracks : Las VegasNew York (Downtown)HawaiiNew York (Uptown)Alcatraz - Based on The Rock from the arcade version of the original game.Los AngelesSeattle </div> "
S.C.A.R.S.,Vivid Image,Ubi Soft,4-Dec-98,n64,S.C.A.R.S. is a multiplayer racing game that features virtual animal-based cars set in the year 3000.,3030-7156,7156,0,,https://www.giantbomb.com/scars/3030-7156/,ESRB: E,
San Francisco Rush 2049,Atari GamesMidway Games,Midway Home EntertainmentNAMidway GamesPAL,7-Sep-00,n64,"The sequel to the arcade game San Francisco Rush brings the over-the-top street racing to near-future 2049. Along with updated 3D graphics, it features a keypad system where players can track stats and unlock new cars.",3030-18834,18834,0,,https://www.giantbomb.com/san-francisco-rush-2049/3030-18834/,ESRB: E," <div> Overview : San Francisco Rush 2049 is an over-the-top sci-fi street racing game developed and released by Atari Games (later as Midway Games West) for arcades in June 1999. Along with a major update (San Francisco Rush the Rock: Alcatraz Edition), the game was ported to both the Dreamcast and Nintendo 64, and received a handheld Game Boy Color adaptation.An arcade sequel to the 1996 game San Francisco Rush: Extreme Racing, 2049 features a new futuristic sci-fi theme and updated graphics hardware (powered by the 3dfx Voodoo 3 chipset). It also features a new player tracking system, where players join ""Team Rush"" by inputting their name and PIN on a 12-button keypad (using a traditional payphone keypad) to track their stats on that machine and receive access to unlockable tracks and cars. It is the last game released under the Atari Games label.The game received a limited-release upgrade in 2000 as San Francisco Rush 2049: Tournament Edition, which allowed players to play online tournaments with the Midway Tournament Network while adding new content (including two tracks, four cars, and new shortcuts for existing tracks). It was later re-tooled by Betson in 2003 as San Francisco Rush 2049: Special Edition, removing online functionality.The original version of the game was ported to both the Dreamcast and Nintendo 64, by Midway in North America (on September 5, 2000) and Europe (on November 17, 2000). These versions were unique for their customizable vehicles, four-player split-screen multiplayer, and two new game modes (Stunt and Battle). Some of the content in the Nintendo 64 required use of the Expansion Pak add-on. While the Dreamcast version did not include online multiplayer, it supported online functionality as players can upload and download ghost racers. The Dreamcast version was later ported in the compilations Midway Arcade Treasures 3 (for the PlayStation 2, Xbox, and GameCube) and Midway Arcade Treasures Deluxe Edition.The game also received a handheld adaptation for the Game Boy Color, developed by Handheld Games and published by Midway in North America on September 5, 2000 and in Europe on December 1, 2000. It is played in a slower isometric top-down perspective (similar to the R.C. Pro-Am series). </div>  <div> Tracks : The original arcade version includes five tracks, only one of which (The Rock) returned from the original San Francisco Rush. In the Dreamcast and Nintendo 64 versions, the original North American release used generic track names while the European release (and Midway Arcade Treasures ports) used updated names.Morning (Novice) - Known as either ""Track 1"" or ""Marina"" in the Console versions.Noon (Advanced) - Known as either ""Track 2"" or ""Haight"" in the Console versions.Sunset (Advanced) - Known as either ""Track 3"" or ""Civic"" in the Console versions.The Rock (Advanced) - Not included in the console versions. Hidden in the original arcade version.Night (Extreme) - Known as either ""Track 4"" or ""Metro"" in the Console versions. Hidden in the original arcade version.The Tournament Edition of the arcade version added two new tracks:Dawn (Advanced)Dusk (Advanced)The Console versions of the game include four of the original tracks plus two new unlockable tracks, as well as four Stunt tracks, eight Battle tracks, and an Obstacle track.Track 5 / Mission - Unlocked by completing the Beginner Circuit in the top three.Track 6 / Presidio - Unlocked by completing the Intermediate Circuit in the top three. Requires the Expansion Pak in the N64 version.Stunt 1 / The RimStunt 2 / Disco - Unlockable.Stunt 3 / Oasis - Unlockable.Stunt 4 / Warehouse - Unlockable.Battle 1 / StadiumBattle 2 / MeleeBattle 3 / TundraBattle 4 / AtomicBattle 5 / Downtown - Unlockable.Battle 6 / Plaza - Unlockable.Battle 7 / Road Kill - Unlockable.Battle 8 / Factory - Unlockable.Obstacle / Gauntlet - Unlockable.The GBC adaptation of the game includes nine original tracks. </div> "
