Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,description,game_rating
FIFA Soccer 96,Probe Entertainment Limited,Black Pearl Software,December 1995,gb,The third entry in EA Sports's long-running licensed soccer series. Features two distinct versions depending on whether the player has a 16-bit system or a 32-bit system.,3030-14524,14524,0,1995-09-30,https://www.giantbomb.com/fifa-soccer-96/3030-14524/," <div> Overview : FIFA Soccer 96 is the third game in EA Sports's FIFA Soccer series of soccer sims and was released on many systems in late 1995.The 16-bit version, available for SNES, Genesis, Game Gear and Game Boy, used the series' trademark isometric 2D perspective of the pitch and pre-rendered 3D sprites for its players. For the 32-bit version, available for Sony PlayStation, Saturn and PC, the game uses rudimentary 3D graphics and a camera view that could be twisted around to catch the soccer action at any angle.The game increases the complexity of the ball control and updates the rosters for the 95/96 soccer teams around the world. It contains a vast number of national sides and international league teams, and their players. </div> ",ESRB: E
FIFA Soccer 97,Tiertex Design Studios,Black Pearl Software,November 1996,gb,A soccer/football game. The fourth game in the FIFA series.,3030-3383,3383,0,1996-06-24,https://www.giantbomb.com/fifa-soccer-97/3030-3383/," <div> Overview : One of the early FIFA soccer/football games. It was released for the Genesis, SNES, Saturn, PlayStation and the PC. It was the first FIFA game to include polygonal players, though only for the PlayStation, Saturn and PC versions. The 16-bit versions of the game, for Genesis and SNES, were named ""Gold Edition"" and kept with the 2D sprites and isometric perspective of the pitch used in previous FIFA games. It was also the first FIFA game to include a 5-a-side indoor football arena to compete in. David Ginola (a Newcastle United winger) featured on the cover of the European version, and Bebeto (a Brazilian Striker) was on the cover for the American and Asian versions of the game.The first Nintendo 64 FIFA game FIFA 64 was based on this game. </div>  <div> Features : FIFA 97 is the first game in the series to use polygonal players, as previously the games featured 2D players. FIFA 97 continues to use the virtual stadium system which was introduced in FIFA 96. </div> ",
FIFA 98: Road to World Cup,Tiertex Design Studios,THQ,December 1997,gb,"FIFA 98: Road to World Cup is a multiplatform instalment of the popular soccer video game series, allowing players to relive moments from the 1998 FIFA World Cup.",3030-11207,11207,0,1997-11-30,https://www.giantbomb.com/fifa-98-road-to-world-cup/3030-11207/," <div> Overview : FIFA 98: Road to World Cup is an instalment in the popular FIFA sports game franchise that was published by Electronic Arts and developed by EA Canada. It was released on a wide variety of different platforms including PC, Nintendo Game Boy, Nintendo 64, Super Nintendo Entertainment System, Sega Saturn, Sega Genesis/Mega Drive and the Sony PlayStation. The game was released in 1997 and was the last FIFA title to feature on the Sega Mega Drive and SNES.As the name suggests, the title was designed to coincide with the 1998 FIFA World Cup football tournament that was held in France.The game features 189 club teams and 172 national sides, with up to date rosters for the 1997/98 season.The North American release of the game features Roy Lassiter (the prolific Major League Soccer goalscorer) on the front cover, with the UK version featuring David Beckham. </div> ",
Fighting Simulator: 2-in-1 Flying Warriors,Culture Brain,Culture Brain,April 1992,gb,Fighting game for the Game Boy in the Flying Dragon series. Includes a beat-'em-up mode.,3030-39252,39252,0,,https://www.giantbomb.com/fighting-simulator-2-in-1-flying-warriors/3030-39252/,,
Final Fantasy VII Rebirth,Square,Square,November 1991,gb,The second chapter of Square Enix's remake of Final Fantasy VII.,3030-84787,84787,0,,https://www.giantbomb.com/final-fantasy-vii-rebirth/3030-84787/,,
Collection of SaGa: Final Fantasy Legend,Square,Square,"September 30, 1990",gb,The trilogy of SaGa games originally released in North America on Game Boy as the Final Fantasy Legend series have been packaged together.,3030-80346,80346,0,2020-12-15,https://www.giantbomb.com/collection-of-saga-final-fantasy-legend/3030-80346/,,ESRB: E10+
Collection of SaGa: Final Fantasy Legend,Square,Square,November 1991,gb,The trilogy of SaGa games originally released in North America on Game Boy as the Final Fantasy Legend series have been packaged together.,3030-80346,80346,0,2020-12-15,https://www.giantbomb.com/collection-of-saga-final-fantasy-legend/3030-80346/,,ESRB: E10+
Collection of SaGa: Final Fantasy Legend,Square,Square,August 1993,gb,The trilogy of SaGa games originally released in North America on Game Boy as the Final Fantasy Legend series have been packaged together.,3030-80346,80346,0,2020-12-15,https://www.giantbomb.com/collection-of-saga-final-fantasy-legend/3030-80346/,,ESRB: E10+
Fire Fighter,Teeny Weeny Games,Mindscape,Cancelled,gb,A firefighting-themed strategy action/platformer for Game Boy.,3030-67599,67599,0,,https://www.giantbomb.com/fire-fighter/3030-67599/,,
Fish Dude,Salio,Towa Chiki JPSOFEL NA,April 1991,gb,"Released for the Game Boy. Known in Japan as ""Uoozu"".",3030-39062,39062,0,,https://www.giantbomb.com/fish-dude/3030-39062/,,
Fist of the North Star: 10 Big Brawls for the King of Universe,Shouei System,Toei Animation JPElectro Brain NA,April 1990,gb,This is a Fist of the North Star game for the Game Boy.,3030-40828,40828,0,,https://www.giantbomb.com/fist-of-the-north-star-10-big-brawls-for-the-king-/3030-40828/," <div> Overview : Fist of the North Star: 10 Big Brawls for the King of Universe is a Game Boy title released in 1990. Developed by Shouei System and published by Electro-Brain in North America, the game is based on the Fist of the North Star license. Its gameplay is focused on one-on-one battles. </div>  <div> Story : In the year 199X, the world was caught in a nuclear war and covered in flames where the seas dried up, the ground itself cracked and food was scarce. In a world where law and order ceases to exist, mankind still survives.In amidst the chaos, a man appears from the shadows of death, a dangerous man who has ability to take someone's life in a few seconds. His name is Kenshiro, and his fight as a Legendary Savior has already begun. </div>  <div> Gameplay : This game plays similar to the NES and Master System versions of Fist of the North Star, but without the exploration element. The game is more akin to an early fighting game, in that play is focused on one-on-one battles between the player and a rival CPU character or a second player. </div>  <div> Game Modes : A Button - High attacksB Button - Low Attacks (Only for some characters)Start - PauseSelect + A - Display stats for a fighter in the fighter slection screen.This title features a leveling mechanic that allows the player to boost the stats of their chosen fighter. Experience points are earned as the player fights and beats the enemy. The amount of points earned depends on how quickly the enemy was defeated and how much the player lost during the battle. There are three main stats that be upgraded:A button attacksB Button attacksDefense </div> ",
The Flash,Equilibrium,THQ,March 1992,gb,A cancelled game based on the Flash comic series.,3030-25420,25420,0,,https://www.giantbomb.com/the-flash/3030-25420/,,
Flintstones,Twilight,Ocean,December 1994,gb,Flintstones,3030-28624,28624,0,,https://www.giantbomb.com/flintstones/3030-28624/,,
The Flintstones: King Rock Treasure Island,Taito Corporation,Taito Corporation,February 1993,gb,"Fred Flintstone finds a map leading to treasure on King Rock Island. He leaves his loving family to claim his fortune, letting nothing stand in his way.",3030-32473,32473,0,,https://www.giantbomb.com/the-flintstones-king-rock-treasure-island/3030-32473/,,
Plotting,Taito Corporation,Taito Corporation,April 1990,gb,"Plotting, also known as Flipull, is a block-matching game from Taito.",3030-5988,5988,0,,https://www.giantbomb.com/plotting/3030-5988/," <div> Overview : Originally created for arcades, Plotting is a game where players deflect blocks off walls in order to match them with a corresponding tile. The game was released under the name Flipull for the NES and Game Boy. The title was included in the PlayStation 2 arcade compilation Taito Legends. </div> ",ESRB: E
Foreman for Real,Software Creations,Acclaim,September 1995,gb,A boxing game that stars the creator of the Foreman Grill himself. The player can fight or fight as Big George with nineteen other contenders.,3030-4488,4488,0,1995-09-28,https://www.giantbomb.com/foreman-for-real/3030-4488/," <div> Overview : Foreman for Real is a 1995 boxing game focused around George Foreman while he was still IBF heavyweight champion of the world. It was released on both the SNES and Genesis, as well as the handhelds Game Gear and Game Boy.Although Foreman is the title character, there are other known playable boxers in the game. The game uses an unusual graphical style that mixes digitized photos of the boxers' faces and pre-rendered polygonal bodies. It features a standard exhibition mode, a career mode that has the player make their way up the ranks and an elimination tournament. </div> ",ESRB: K-A
Fortified!,Jaleco,Jaleco,September 1991,gb,Fortified! is an action strategy game set in 1950's sci-fi.,3030-48023,48023,0,2016-02-03,https://www.giantbomb.com/fortified/3030-48023/," <div> Overview : Fortified is a base-defense shooter, where players defend the Earth against a deadly Martian invasion in the 1950's. Play as one of four pulp-inspired characters equipped with cold-war era weapons and experimental structures. Fortified! features cooperative play for up to four playersThe player is in control of four possible pulp inspired heroes who have been called to save the world. Players must defend themselves from the swarming hordes of Martian robots that have invaded the earth. Armed with the latest in Cold War weaponry players must use a combination of twitch shooter skills combined with a blend of tower defense strategy to fight off attackers.The heroes are tasked with defending the city by any means possible. Construct a deadly network of defensive structures and weapons to end the miserable mechanical existence of the enemy. Then command an army to finish them off and remind the universe that humankind will not go down without a fight.“Fortified” draws against a comic book / pulp fiction world that is sure to inspire a state of nostalgia for many Sci-Fi fans. The game offers four distinct heroes: a jetpack heroine, a shotgun wielding space cowboy, a government agent, and a hard-nosed Marine Captain. </div> ",ESRB: T
Frank Thomas Big Hurt Baseball,Realtime Associates,Acclaim,December 1995,gb,A baseball game starring the MLB player Frank Thomas. Its graphics and realism were impressive for the time.,3030-6736,6736,0,,https://www.giantbomb.com/frank-thomas-big-hurt-baseball/3030-6736/," <div> Overview : Frank Thomas Big Hurt Baseball, known simply as Big Hurt Baseball in Japan, is a baseball sim featuring and endorsed by Chicago White Sox player Frank ""The Big Hurt"" Thomas. It is one of the first baseball games to use motion-captured 3D graphics and multiple camera angles. 28 stadiums are rendered in 3D, and each has its own visible and significant differences.There are six distinct game modes, allowing for single exhibition matches as well as full seasons. There is also a Home Run Derby mode, allowing the player to pelt the ball out of the ground for points. </div> ",
Frogger,Majesco Sales,Majesco Sales,August 1998,gb,Frogger 3D is a video game remake of the classic arcade game with 3D graphics and new maps.,3030-24704,24704,0,1997-11-03,https://www.giantbomb.com/frogger/3030-24704/," <div> Overview : Frogger 3D was a re-imagining of the classic arcade game in the 80s. The game starts out on the familiar freeway/river map of the old games, but pretty soon players are thrust into new environments that Frogger could only dream about in his retro day. This remake is probably most remembered for it's brutal time limits. </div> ",ESRB: K-A
Clue: The Classic Mystery Game,Nintendo,Nintendo,May 1997,gb,CLUE/CLUEDO,3030-69005,69005,0,2018-12-17,https://www.giantbomb.com/clue-the-classic-mystery-game/3030-69005/,,
The Game of Harmony,The Code Monkeys,Accolade,February 1991,gb,A puzzle game for early computer platforms and later ported to the Game Boy.,3030-4630,4630,0,,https://www.giantbomb.com/the-game-of-harmony/3030-4630/, <div> Overview : The Game of Harmony is a puzzle game developed by Assembly Line and published by U.S. Gold (non-US releases) and Accolade (US releases) for multiple platforms. </div> ,
Ghosts 'n Goblins Resurrection,Capcom,Capcom,July 1990,gb,"Ghosts 'n Goblins Resurrection is a reboot of the classic franchise for Nintendo Switch, Xbox One, PlayStation 4, and PC.",3030-81377,81377,0,2021-02-25,https://www.giantbomb.com/ghosts-n-goblins-resurrection/3030-81377/," <div> Overview : Ghosts 'n Goblins Resurrection is a side-scrolling action game developed and published by Capcom for Nintendo Switch on February 25, 2021, and June 1 of the same year for PlayStation 4, Xbox One, and PC. </div>  <div> External Links : Ghosts 'n Goblins Resurrection Official Site </div> ",ESRB: E10+
Gauntlet II,Eastridge Technology,Mindscape,September 1991,gb,"This 1986 sequel added more enemies with better AI, new treasures, harder levels, and the ability for each player to choose the character they wanted.",3030-648,648,0,,https://www.giantbomb.com/gauntlet-ii/3030-648/,,
Gear Works,Teque Interactive,Sony Imagesoft,October 1993,gb,Gear Works is a puzzle game for multiple platforms.,3030-3223,3223,0,,https://www.giantbomb.com/gear-works/3030-3223/, <div> Overview : Gear Works is a puzzle game released on many platforms and is known as Clik-Clak in Europe. </div> ,
George Foreman's KO Boxing,Beam Software,Acclaim,September 1992,gb,In the 1990s George Foreman's comeback quest for the Heavyweight Championship Title made him a favorite among boxing fans. His popularity would result in a decent Mike Tyson's Punch Out type of game.,3030-13997,13997,0,1991-12-27,https://www.giantbomb.com/george-foremans-ko-boxing/3030-13997/," <div> Overview : George Foreman's KO Boxing is a boxing game from Beam Software. It was released on the SNES and Genesis, and also saw downgraded versions for the NES, Master System and Game Gear. It features George Foreman, former heavyweight champion, and a bunch of other boxers in a game that uses the behind-the-back approach of Nintendo's Punch-Out!!. </div>  <div> Game Boy Version : The Game Boy version of George Foreman's KO Boxing was developed by Beam Software and published by Acclaim in September of 1992. The Game Boy version of the game supports a password save system for saving progress. This version of the game plays much like Punch Out, with there being the options of blocking, moving left or right, and throwing right or left punches. </div>  <div> Game Gear Version : The Game Gear version is actually a rebranded version of the Japanese game Heavyweight Champ, by Sims, Co. and published there by Sega. </div> ",
The Getaway: High Speed II,Unexpected Development,Williams,December 1995,gb,Shift into high gear and burn rubber with this pinball machine by Steve Ritchie.,3030-35298,35298,0,,https://www.giantbomb.com/the-getaway-high-speed-ii/3030-35298/,,
Ghostbusters,HAL Laboratory,Activision EU/NAHAL Laboratory JP,December 1990,gb,Ghostbusters takes place after the events of the 2016 film with a different crew of busters.,3030-54178,54178,0,2016-07-12,https://www.giantbomb.com/ghostbusters/3030-54178/,,ESRB: E10+
Go! Go! Tank,Copya Systems,Copya Systems JPElectro Brain NA,May 1991,gb,Go! Go! Tank is an action game on the Game Boy.,3030-34659,34659,0,,https://www.giantbomb.com/go-go-tank/3030-34659/, <div> Overview : Go! Go! Tank is an action game released on the Game Boy in 1991. Go! Go! Tank has the option to play single player or two player via link cable. The goal in Go! Go! Tank is to help a tank get to the end of the stage by using the airplane to pick up blocks and create a path. </div> ,
J-League Soccer: Prime Goal,TOSE,Jaleco,August 1993,gb,"Soccer game developed by Namco in 1993. It is the first game in the J-League Soccer: Prime Goal series, based on and licensed by the real-life J-League professional soccer organization.",3030-28164,28164,0,1993-08-06,https://www.giantbomb.com/j-league-soccer-prime-goal/3030-28164/," <div> Overview : J-League Soccer: Prime Goal is a soccer game based on the J-League, Japan's premier soccer league. It uses a horizontally scrolling soccer pitch that occasionally cuts to cinematic animations for challenges and after a goal is scored. The player has the choice of ten teams in the J League, each with the real-life members of each team (at the time).The game was followed with two more sequels for the Super Famicom: J-League Soccer: Prime Goal 2 and J-League Soccer: Prime Goal 3. The third game is the only one to be released outside of Japan, as 90 Minutes: European Prime Goal. </div> ",
Godzilla: Kaiju Daikessen,Compile,Toho NA/JPNintendo EU,October 1990,gb,A Japan-only 2D fighting game for the Super Famicom that featured famous kaiju such as Godzilla and Mothra among others. It is the sequel to the TurboGrafx-CD fighter game Godzilla: Battle Legends.,3030-22895,22895,0,1994-12-09,https://www.giantbomb.com/godzilla-kaiju-daikessen/3030-22895/," <div> Overview : Godzilla Kaiju Daikessen (""Godzilla: Monster War"") is a 2D fighter for the Super Famicom featuring famous Toho kaiju. While the game was released in Japan only, a US version was in production at one point under the working title Godzilla: Destroy All Monsters. It is the sequel to the 1993 TurboGrafx-CD Godzilla fighter Godzilla: Battle Legends, also developed by Alfa System. There would not be another Godzilla tournament fighter similar to this game until  Godzilla: Destroy All Monsters Melee, which came out for the Xbox and GameCube platforms.The game features the following kaiju as playable characters:Godzilla: The eponymous big green lizard and the most famous kaiju.Anguirus: A yellow ankylosaurus who is often Godzilla's ally.King Ghidorah: A three-headed atomic dragon from space. One of Godzilla's strongest rivals.Gigan: A cycloptic creature with hooks for hands and an enormous buzzsaw in its torso.Megalon: A beetle-like kaiju with saw arms.MechaGodzilla (Showa): Godzilla's metallic twin. This is the slightly weaker Showa Era version (pre-1989).Biollante: A colossal (even for kaiju) plant-like genetically-modified monster who attacks with its whip-like tendrils.Mothra: A gigantic moth who often fights for the sake of humanity. Her special attack includes her rival moth kaiju Battra in a brief cameo.MechaGodzilla (Heisei): The Heisei Era version (post-1989) was introduced in the 1993 movie Godzilla vs. MechaGodzilla 2. Slightly more powerful than its older incarnation.Super MechaGodzilla: An upgraded version of the Heisei Era MechaGodzilla. After combining with the anti-kaiju airship Garuda, MechaGodzilla becomes one of the most physically powerful kaiju in the universe. It is a boss character and must be unlocked for multiplayer with a cheat code. It'll also become playable if Expert mode is played.Gotengo: A man-made supertank that is capable of flying, going underwater and drilling underground to ensure it can reach any destination. Originally appeared in the 1963 Toho sci-fi adventure movie Atragon, which had no relation to Godzilla and the other kaiju. It is a secret cameo character and must be unlocked for multiplayer with a cheat code. It'll also become playable if Expert mode is defeated without using a continue. </div> ",
Golf,Nintendo,Nintendo,February 1990,gb,Simple Golf game for the Odyssey 2. Could play with up to 4 players.,3030-21797,21797,0,,https://www.giantbomb.com/golf/3030-21797/,,
Gradius: The Interstellar Assault,Konami,Konami,January 1992,gb,Gradius: The Interstellar Assault is the second Gradius game for the Game Boy. It is the sequel to 1990's Nemesis and is known as Nemesis II in Japan.,3030-4072,4072,0,1991-06-01,https://www.giantbomb.com/gradius-the-interstellar-assault/3030-4072/," <div> Overview : Gradius: The Interstellar Assault is a shoot 'em up developed and published by Konami for the Game Boy platform.This game lacks some characteristics of most other Gradius games, such as certain terminology, the lack of Moai imagery, and an unfamiliar soundtrack. </div>  <div> Gameplay : Players take control of the Vic Viper as they fight their way through the Bacterion Army in five levels. The game retains the signature Gradius power-up system. This system allows players to save power-ups to unlock more powerful powers instead of having the power-up applied instantly when picked up. These power-ups include a speed boost, missiles, double firepower, lasers, options, and a force field.A weapon select screen is displayed before the player starts. Each option has a bearing on the types of missiles, double firepower, and lasers the player can get. There are three options:Missle - Normal, Two Way, TailDouble Firepower - Normal, Twin Cannon, Twin GunLaser - Normal, Twin, Ripple </div> ",
Great Greed,Namco,Namco,April 1993,gb,"A bizzare game, involving food-related monsters, characters and wood.",3030-1992,1992,0,,https://www.giantbomb.com/great-greed/3030-1992/,,
Gremlins 2: The New Batch,Sunsoft,Sunsoft,January 1991,gb,Gremlins 2: The New Batch is a tie-in based on the movie of the same name.,3030-4028,4028,0,,https://www.giantbomb.com/gremlins-2-the-new-batch/3030-4028/," <div> Overview : Gremlins 2: The New Batch is a 1990 NES game that was developed and published by SunSoft. Based on the film of the same name, it puts the player in the role of Gizmo, a mogwai that must fend off an army of Gremlins and help his human friend Billy stop them from running amok. </div>  <div> Gameplay : Gremlins 2 is played from a top-down perspective. In most of the game's stages, the player, as Gizmo, must explore the area and reach the goal while defeating enemies, avoiding traps such as spiked floors, and jumping over gaps. The remaining stages consist solely of boss fights in which Gizmo must do battle with a gremlin. As the player progresses through the game, Gizmo will acquire more and more powerful weapons, starting with simple tomatoes and eventually upgrading to a bow, and ultimately explosive arrows.Most stages feature a shop that allows Gizmo to spend points on items and power-ups, including health restoration and balloons that allow him to temporarily recover if he falls into a pit. </div> ",
Hal Wrestling,Human Entertainment,Human Entertainment JPHAL Laboratory NA,December 1990,gb,Hal Wrestling is a wrestling game for the Game Boy.,3030-34329,34329,0,,https://www.giantbomb.com/hal-wrestling/3030-34329/, <div> Overview : Hal Wrestling is a wrestling game developed by Human Entertainment and published by HAL America for the Game Boy platform. </div>  <div> Gameplay : The way single matches work in Hal Wrestling is the player is put in a one on one match with a CPU controlled opponent. The match has a 10 minute time limit and is a best 2 of 3 falls match.The other option is a 4 on 4 elimination style match. Both the player and the CPU take turns picking characters for their respective teams. Play in a 4 on 4 match continues until time runs out or all 4 players on a team are eliminated. </div> ,
Hammerin' Harry: Ghost Building Company,Tamtex,Irem,Cancelled,gb,The first sequel in the Hammerin' Harry series.,3030-10471,10471,0,,https://www.giantbomb.com/hammerin-harry-ghost-building-company/3030-10471/, <div> Overview : Hammerin' Harry: Ghost Building Company is an action game developed by Tamtex and published by Irem for the Game Boy platform. </div> ,CERO: A
Harvest Moon GB,Victor Interactive Software,Victor Interactive Software JPNatsume NA,August 1998,gb,"The first Harvest Moon released on a handheld, it follows the story of a young child tasked with reviving their deceased grandpa's farm. A  graphically enhanced version was also released on the Game Boy Colour in the US and UK.",3030-3640,3640,0,1997-12-19,https://www.giantbomb.com/harvest-moon-gb/3030-3640/," <div> Overview : Released due to the popularity of the Super Nintendo release Harvest Moon, Harvest Moon GB is a sequel/stand alone series that marks the debut of the game on handheld consoles. It is primarily about taking over your recently deceased grandpa's run down farm and restoring it to it's former glory, sharing similarities to the SNES version. The game does not contain a set ending, and instead the player is judged on a yearly basis by the ghost of their grandpa, and given a score which is used to issue rewards and eventually surpass him as the ""Ranch Master"".The Title Screen.This handheld version strips away a few features in order to make it suit the portable transition, the dating and marriage elements from the SNES version are removed, as have festivals and the ability to travel between the farm and town via the mountains. There are harvest sprites which will help the player who live below the tool shed in the yard.An interesting feature of this version is that you do not manually need to save, it has battery backup and regularly auto saves any progression made. There is a manual save function activated by using the bedside cabinet in the players house.There is also the choice of a cat or dog pet, The player can choose from either a dog or a cat as their pet. The player may also choose a female avatar, debuting in this title. </div>  <div> Gameplay : A year in Harvest Moon GB consists of 4 seasons; Spring, Summer, Autumn and Winter, of thirty days each. Each crop will only grow if planted during the correct month. In addition to crops the player can raise both cows and chickens, which produce milk and eggs, respectively. The goal of all of this is sell the produce in order to afford more seeds, new tools, and food for the pantry.On specific days during the year an event will happen, such as a stray horse wandering onto the farm, or the harvest sprites offering to upgrade a tool. </div> ",ESRB: K-A
Hatris,Bullet-Proof Software,Bullet-Proof Software,May 1991,gb,"A falling-block puzzle game, designed by the man behind Tetris, that involve stacking piles and piles of hats.",3030-17985,17985,0,,https://www.giantbomb.com/hatris/3030-17985/," <div> Overview : Hatris is a falling-block tile-matching puzzle game developed and published by Bullet-Proof Software for the Family Computer in Japan in 1990.Designed by Alexey Pajhitnov and Vladimir Pokhilko (the former previously known for Tetris, Welltris, and Faces) from the company ParaGraph, Hatris has players managing six stacks of hats by controlling new sets of hats falling from the top of the screen in pairs (swapping them horizontally using a button).The objective is to form vertical stacks of five-or-more consecutive hats of the same type, of which there are six in total, and remove as much of them from the board as possible before a stack reaches the upward end line. Unique to this game is how pieces are stacked according to their height and brim size, with the bottom hat being partially obstructed by the top hat. Some hats are tall, but have a very short brims (such as top hats), while some are short but have very large brims (such as crowns).The game also received ports in 1990-1991 for the arcade, 8000- and 9000-series Sharp Wizard organizers, the PC Engine, the Game Boy, and the NEC PC-9801. The arcade version was ported by Video System, while the Sharp Wizard and PC Engine ports were handled by Micro Cabin. The arcade, Sharp Wizard, and Game Boy ports were also released overseas. An enhanced version of the Famicom version was released in 1992 for the Nintendo Entertainment System overseas.Each of the ports have their own unique gameplay changes, such as changing each hat size and score, changing the size of the ""end line"", modifying the ""Sale"" system (with the NES version replacing them with the ""Helper"" system), and adding special ""Fire"" pieces (which burn a stack of same-type hats). </div>  <div> Gameplay : At the bottom of the screen are six male (sometimes female) heads. Pairs of hats fall from the top of the screen, and the player has to stack the hats on top of the men's heads. Once five of the same type of hat are stacked on top of each other, that stack is cleared and the player is awarded points.In some versions of the game super deformed avatars of Pajhitnov and Pokhilko appear in the game as characters who assist the player in removing hats and rearranging stacks of hats. </div>  <div> Hats : Score multiplier increases every 5 sets.Helmet (20 pt. base) - 8 pixels tall (4 px. brim).Bowler (40 pt. base) - 12 pixels tall (4 px. brim).Sombrero (50 pt. base) - 12 pixels tall (8 px. brim).Top Hat (100 pt. base) - 20 pixels tall (4 px. brim).Sorceror's Hat (150 pt. base) - 28 pixels tall (8 px. brim). First appears after 10 sets cleared.Crown (200 pt. base) - 16 pixels tall (12 px. brim). First appears after 15 sets cleared. </div> ",
Heavyweight Championship Boxing,TOSE,Tonkin House JPActivision NA,September 1990,gb,"Heavyweight Championship Boxing is a boxing simulation for Game Boy. In Japan, it was just called ""Boxing"".",3030-46874,46874,0,1990-05-18,https://www.giantbomb.com/heavyweight-championship-boxing/3030-46874/,,
Heiankyo Alien,Hyperware,Meldac,April 1990,gb,"The original ""trap-'em-up"" maze-chase arcade game returns with a psychadelic retro-themed fast-paced score-attack remake. It also includes a direct port of the original 1980 arcade game.",3030-62255,62255,0,2017-10-13,https://www.giantbomb.com/heiankyo-alien/3030-62255/," <div> Overview : Heiankyo Alien (not to be confused with the original 1979 game of the same name) is a maze game compilation developed and published digitally by Mindware for the PC on October 13, 2017.The seventh game in the studio's ""Video Game Classics"" series, Heiankyo Alien includes a remixed version of the 1979 NEC PC-8001 game Heiankyo Alien (known as Heiankyo Alien 3671), as well as a port of the 1980 Denki Onkyo arcade version.Similar to the Pac-Man Championship Edition series, Heiankyo Alien 3671 changes up the original formula by adding a widescreen playfield, bright neon graphics, a score multiplier system, and more fast-paced gameplay. Up to four players can play at once, each with infinite lives, must work to get the highest score after five minutes. An alternate mode, called Glitch Encore Alien 41381, deliberately re-introduces a bug from development that allows players to create holes that insta-kill aliens and can never disappear.It later received an arcade port in 2021 (using PC-based exA-Arcadia hardware) as either Heiankyo Alien 3671 (in Japan) or Cosmic Digger 3671 (overseas). This version allows four-player simultaneous multiplayer. </div> ",
Hercules,Tiertex Design Studios,THQ,July 1997,gb,,3030-48744,48744,0,,https://www.giantbomb.com/hercules/3030-48744/,,
High Stakes: Texas Hold'Em,Sculptured Software,Electro Brain,June 1992,gb,Poker for the DSi,3030-29520,29520,0,2009-12-21,https://www.giantbomb.com/high-stakes-texas-holdem/3030-29520/,,
Hit the Ice,Williams,Taito Corporation,October 1992,gb,An over-the-top hockey arcade game by Williams that was later ported to consoles.,3030-22324,22324,0,1991-09-20,https://www.giantbomb.com/hit-the-ice/3030-22324/," <div> Overview : Hit the Ice is an arcade style hockey game originally developed and published by Williams Electronics and later ported to home consoles by Taito. </div>  <div> Gameplay : Hit the Ice is a 1-player or 2-player (Versus, or Co-op) game and is a fast moving hockey game with little to no rules. The gameplay systems involved allow players to pass the puck to other members on their team and for the opposing team to intercept the puck by skating and breaking the straight line of passage between both of the passing team players.The game gets more arcade like with the super shots. A player if left alone and unobstructed for long enough can charge up the shot causing their player to backflip and shoot the puck past the goalie or into the goalie knocking them into the net for the goal. The next super shot is is a windmill which which is performed when one player is skating behind the net and hitting the pass button when the player in front of the net's stick begins to glow. If done correctly the puck will be flipped over the net and the player in front will spin and bat the puck into the net.Since the game is basically a hockey version of  Arch Rivals there are no rules. Players have special moves including: elbows, headbutts, slashing, and a swift kick to the groin, all of which are illegal in the sport of hockey. Along with with no penalties comes fighting and lots of it; though it occurs at random the players will fight, and when in a fight the player can dodge by holding away from the opposing player, punch and also uppercut, the loser of the brawl falling to the ice with birds flying over their head. Winning a fight comes with a few advantages, the player involved in the scuff will receive and speed boost and the chance to grab some tainted although very powerful water from the bench resulting in a zero time charge for a Super Shot, while the loser will stay sluggish in control for sometime after the fight, and if a player loses too many fights in one period they are removed with an injury. </div>  <div> The Roster : Hit the Ice is in no way connected the the NHL so therefore does not contain any NHL players.""Dicky"" Fontaine""Gunner"" Hall (spoof of Glen Hall)Pierre BourdoirPhil Bonker (spoof of Phil Esposito)""Battleship"" BoydDavid VolekIven Yakashev spoof of a Soviet player from 1972Willy Lindberg Tom Horyna (spoof of Tim Horton)Al GiglianoHappy Goleck (""happy-go-lucky"")Wayne Greatman (spoof of Wayne Gretzky)Reggy MarshJonny NovakPetter Kidd, *""Bo"" ClevelandBob DoverMike Barr </div> ",
Home Alone,Imagineering,THQ NA/EUAltron JP,November 1991,gb,"A budget title loosely based on the motion picture, released only in Europe for PlayStation 2. It is a top-down stealth action game of sorts, in which 1-2 players must eliminate burglars from a house by using wacky improvised weapons and locking doors.",3030-23207,23207,0,2006-11-29,https://www.giantbomb.com/home-alone/3030-23207/," <div> Overview : Home Alone is a game based on the Home Alone movie series, developed by Coyote and published by Blast Entertainment for the PlayStation 2.The game was only released in Europe. </div> ",PEGI: 3+
