Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Dino Hazard,Irem,Irem,"September 4, 1992",snes,"A game under active development in Steam Early Access. Dino Hazard is a retrofuturistic turn-based RPG set in the 22nd century Brazil. A safari park for game hunters is under attack. Seven characters need to unite their skills and overcome their differences to survive dinosaurs, robots, androids, and a malicious artificial intelligence before it is too late.",3030-80306,80306,0,2020-11-15,https://www.giantbomb.com/dino-hazard/3030-80306/,,
Dirt Trax FX,Sculptured Software,Acclaim Entertainment,"June 16, 1995",snes,A polygonal motocross game for the SNES. It utilizes the Super FX chip to render the tracks in 3D.,3030-25815,25815,0,,https://www.giantbomb.com/dirt-trax-fx/3030-25815/,ESRB: K-A," <div> Overview : Dirt Trax FX is a Super FX chip-enhanced motocross game from Sculptured Software (a.k.a. Acclaim Studios Salt Lake City) and Acclaim. The game presents a series of tracks and racers for the player to select between, and the goal is to complete the race in first place after fifteen laps. It follows other Super FX racing games for the system like Dirt Racer and Stunt Race FX.The player can select to practice on one of the game's five courses, or they can take part in an elimination series that removes the competitors who finish last after each race. There are also multiple difficulty levels represented by the engine's ""cc"" volume. The game can also support two players simultaneously, but this results in a severe drop in framerate. </div> "
Disney's Aladdin,Capcom,Capcom,"November 21, 1993",snes,"Disney's Aladdin was the title of several different games from different developers based on the classic Disney film, Aladdin. As the titular character, players venture through many levels inspired by events and locations in the movie.",3030-19944,19944,0,1993-11-11,https://www.giantbomb.com/disneys-aladdin/3030-19944/,ESRB: E," <div> Overview :  The lamp level There were three different video game versions of Disney's Aladdin, two released within weeks of one another. One was developed and published by Virgin Interactive and the other by Capcom. It is the Capcom version that made an appearance on the SNES - and much later the Game Boy Advance - while the Virgin Interactive game was released initially for the Sega Genesis and later ported to the NES, Game Boy, Game Boy Color and DOS and Amiga home computers. It is also of note that alongside the official NES game, there were two unofficial ports of the same game and another illegitimate one of Capcom's version.In both games, the player must guide Aladdin through several locations seen in the 1992 movie of the same name. In the Virgin Interactive game, Aladdin has a sword which he can use to attack enemies, however in the Capcom version the only weapons are apples scattered around the levels which are used temporarily stun guards, who can only be killed if Aladdin jumps on their head.The third game was made by Sega for the Game Gear and Master System. It follows the plot of the movie more closely than the other two games, and instead of being a straightforward platformer, it plays more like Prince of Persia; most levels have Aladdin solving minor puzzles to progress, rather than defeating enemies and navigating platforms (However, other levels do take place in a running perspective, requiring traditional platformer skills). </div>  <div> Story : The plot in both titles is taken directly from the film so it may not be new to many players. The story is based on an Arab folktale by the same name from One Thousand and One Nights (Though many aspects have been changed by Disney). Players control a street urchin by the name of Aladdin who meets a young princess named Jasmine. The Grand Vizier Jafar wants Jasmine for his bride and needs Aladdin to get the magic lamp from the Cave of Wonders for him. Things don't work out the way they were supposed to and Aladdin gets stuck with the lamp, as well as three wishes. Then, more things go wrong and eventually a battle between Jafar and Aladdin occurs. Aladdin comes out victorious, frees the genie, and gets engaged to the princess. </div>  <div> Critical Reception : Electronic Gaming Monthly gave the Genesis version of the game scores of 9,8,9 and 8 out of ten. Ed Semrad wrote, ""What happened to the Genesis!?! Suddenly, all of the latest titles are some of the best ever seen! This cart has got to be seen to be believed! The animation is absolutely flawless, making it look just like the animated movie -- literally! The slapstick humor of the movie is also retained..."".Danyon Carpenter wrote, ""...Aladdin takes many ideas from side-scrollers and turns it into a slapstick game everyone can enjoy. The sound effects are right on the money and the animation has yet to be rivaled. No other game comes close when comparing animation..."". </div> "
Disney's Beauty and the Beast: Roar of the Beast,Probe Software,Hudson Soft,"July 1, 1994",snes,,3030-7073,7073,0,1993-06-16,https://www.giantbomb.com/disneys-beauty-and-the-beast-roar-of-the-beast/3030-7073/,ESRB: E,
Disney's Bonkers,Capcom,Capcom,October 1994,snes,A SNES licensed platformer based on the Disney TV show about a former toon movie star that joins the police force. Not to be confused with the Genesis game released around the same time.,3030-10914,10914,0,,https://www.giantbomb.com/disneys-bonkers/3030-10914/,," <div> Overview : Disney's Bonkers is a licensed platformer game based on the Disney property of the same name. Bonkers is tasked with finding three important Hollywood icons that have recently been stolen: the Sorcerer's Hat (from Fantasia), the Mermaid's Voice (from The Little Mermaid) and the Genie's Lamp (from Aladdin).Bonkers can attack enemies by leaping on them, or by tossing one of his limited number of bombs. He also has a dash that allows him to destroy question mark balloons that hold various items. He can also find various power-ups such as bomb refills, a potion that temporarily provides infinite dash and hearts that increase Bonkers' health.Disney's Bonkers is not to be confused with the Genesis Bonkers or the Game Gear game Disney's Bonkers: Wax Up. Those games have different developer/publisher, different genres and different plots. </div> "
Pinocchio,Virgin Interactive,Nintendo,"November 1, 1996",snes,"Play as Pinocchio and Jiminy Cricket through the video game adaptation of the classic Disney film of the same title. Keep Pinocchio on the paths of truth, bravery and selflessness to ensure that the Blue Fairy grants his wish.",3030-19645,19645,0,1996-11-28,https://www.giantbomb.com/pinocchio/3030-19645/,ESRB: K-A," <div> Overview : Pinocchio is a 2D side-scrolling platformer based on the 1940 Disney movie of the same name, and roughly follows the same plot. It follows on from Virgin Interactive's previous 16-bit platformers, such as The Jungle Book and The Lion King, and like those games puts special consideration towards the game's fluid animations and fidelity to the source material. The goal of the game is to help Pinocchio move through levels based on major scenes from the movie, including being turned into a donkey after visiting Pleasure Island or getting swallowed by Monstro the whale, through a combination of platforming and other action sequences. </div> "
Dolucky no Kusayakiu,Zoom,Technōs Japan,Cancelled,snes,"A baseball game featuring heavy product placement and the NECO ""Dolucky"", the (at the time) mascot of Zoom Inc. An American version titled ""Zoo Ball"" was scheduled by Technos but was canceled.",3030-33748,33748,0,1993-12-17,https://www.giantbomb.com/dolucky-no-kusayakiu/3030-33748/,," <div> Overview : Dolucky pitching and batting.Dolucky no Kusayakiu (the name roughly means ""Dolucky's Grass Baseball""; it's clearly some sort of pun as ""yakiu"" is not written in a conventional manner ( 野球 or やきゅう).) is a comical baseball game with teams that consist exclusively of particular types of animals that are named after Coca Cola products. Each team has its own strengths and weaknesses and special abilities (I.E., special bats, special pitches, etc.). It is otherwise a typical baseball game. Sometimes weather will affect the game (i.e., a storm); other bizarre random events are also possible. At the 7th inning stretch, everyone stops for a nice can of their Coke product of choice. </div>  <div> TEAMS : The title character, ""Neco Dolucky"" (his full name) is a cool cat from New York City. He enjoys soul music and dancing, and loves nothing more than a cool, refreshing Coca Cola Classic. One day he and his other animal friends were bored, so they decided to start a baseball league. One can assume their sponsor is the Coca Cola Corporation... Suddenly, they receive a challenge via telegram from the ""Tab Clear Empire Hellthunder Destroyers!"" Of course they can't back down, that wouldn't be TOUGH. Fight on through baseball, boys! </div> "
Donkey Kong Country Returns,Rare,Nintendo,"November 21, 1994",snes,"Retro Studios brings Donkey Kong back to business with DKC Returns, a brand new platformer made in the vein of the original Rare SNES games.",3030-31732,31732,0,2010-11-21,https://www.giantbomb.com/donkey-kong-country-returns/3030-31732/,ESRB: E," <div> Overview : Donkey Kong Country Returns is a sidescrolling 2D platformer by Retro Studios for the Nintendo Wii, released in November 2010. The game had only been announced a few months prior during Nintendo's E3 2010 media briefing. It marked the revival of the classic Donkey Kong Country platformer series developed by Rare during the mid-90s for the SNES. In February 2013, it was revealed that Monster Games would develop a port of the game, titled Donkey Kong Country Returns 3D for the Nintendo 3DS. </div>  <div> 3DS Version Differences : Donkey Kong Country Returns 3D is set to include all the content from the Wii original along with some new extras. Among those is an ""easy mode"" that provides the player with an additional heart, a back-up DK barrel that lets them call-in Diddy Kong in case he died and mine carts can take an additional hit. There is also supposed to be not-yet disclosed ""new content."" </div>  <div> 3DS eShop Version : Size: 17,668 blocks (2 GB) </div>  <div> Development : Donkey Kong's preferred means of transportation: barrel blasting.At around April of 2008, several members of Retro Studios, the developers of the critically acclaimed Metroid Prime trilogy, left the company. At the same time, Miyamoto expressed interest in bringing back Donkey Kong in a platforming game, notably in the style of Donkey Kong Country. Michael Kelbaugh, the CEO of Retro Studios, who worked on the original Donkey Kong Country games while he was with Nintendo of America, became interested in Miyamoto's idea, and asked to be the developer behind the game.Things began to move quickly, and the idea became a reality when they began development on this game. The codename for the game during development became F8 (read as Fate) after Iwata asked them to treat the game as if they were fated to make the game. Very early on, Retro Studios decided to base the game as a successor to the SNES games, to introduce fresh and new gameplay mechanics, while still being a relative of the original games.DK and Diddy Kong traverse the landscape.The development team debated what new elements they could add to the original gameplay, or if they should introduce anything new at all. When Jungle Beat was released, the team thought long and hard about in what ways they could make Donkey Kong Country Returns stand out. Retro Studios examined how in the original games, there were two characters, but the player never had control of both of them at once - and decided to change that.They intended to have real-time co-op play (New Super Mario Bros. Wii had not been made yet), but they found it difficult to create an experience that would be equal in single player as it was in co-op, so various additions to the Donkey Kong series over the years were also incorporated into the game. Examples include Diddy Kong's rocket barrel boost, which would help a less experienced player traverse obstacles.Retro Studios played so much of the original games that they consider themselves masters at them. During development, a lot of the game levels were made like speed runs, which Mr. Tanabe had to intervene to give the game a more platformer-like feel to the pacing.An example of the advanced environmental graphics.During the game's development a lot of emphasis was placed on sound design. Retro decided to keep the sound familiar to retain the nostalgic aspect of the game, while using the graphics to convey radical new ideas and themes; to keep a proper balance of style without alienating the fanbase. Thanks to the graphical capabilities of the Wii, everything in the game, including the backgrounds, is rendered in real time compared to the completely pre-rendered graphics of the SNES games.The other big changes are the absence of the Kremlings, which played a huge role in previous Donkey Kong Country titles as the main antagonists. Neither King K. Rool nor his minions make an appearance in the game but instead, are replaced by the evil Tikis known as the Tiki Tak Tribe. </div>  <div> Story : The game's title screen.It is a peaceful day on the DK Island, that is until the volcano in the middle of DK island suddenly erupts and a huge tower know as the Tiki tower rise from the magma.That's when the players is introduced to the Tiki Tak tribe who instantly takes over DK island. 7 leaders from the Tiki Tak tribe spread around the island and hypnotize the animal life to do their dirty work (and act as basic enemies for DK and Diddy)The tribe's first action is to steal DK's golden bananas for some unknown reason, Diddy gives chase, meanwhile Donkey Kong himself is unaware of what is going on and becomes a victim for the tribe.As it turns out, DK and Diddy are immune to the tribes hypnosis magic, which gives the two monkeys a chance to make it to the top of the volcano and recover their stolen bananas.It is later revealed that DK's golden bananas have the ability to give life to new members of the Tiki tribe, as well as giving them more power. </div>  <div> Characters : Return's variation of the DK island, seen from directly aboveDonkey Kong: The king of the jungle is back. When his banana hoard of golden bananas is taken away, this huge gorilla gives chase.Diddy Kong: Donkey's pal and the second player in this game. If you play solo however he rides your back and can give you extra jumping boost and act as a shield of sort.Cranky Kong: Runs the shop in each world and will gladly make the quest a easier one for DK, if he got coins that is.Rambi: Is trapped in a crate in some stages, once freed DK can ride him to destroy some objects, he's pretty much invincible, the only things who can hurt him is thouching something hot or falling down a pit.Tutorial Pig: A little pig hiding in the scenes, he pops up now and then with important info, runs the check point and offering the Super Guide if the player has eaten the dust enough times on a stage.Tiki tak Tribe: The opposing force, out to take over DK island and the ones who stole the bananas. There is 7 leaders of them that acts as the games main bosses and a mysterious master mind who rule over them. </div>  <div> Gameplay : Mine cart stages are now more hectic and chaotic.This game is a 2D platformer made in 3D, so-called 2.5D. LIke the previous Donkey Kong Country games it is all about guiding the big ape from point A to B while avoiding dangers and uncover secrets,then face the boss at the end of the world.The old games was infamous for having alot of secrets and collectables and it is no different this time, if you're going for 100% you will have to look around in each level carefully.Cannon barrels, Mine Cart and Rocket Barrels also makes a return.This game also have co-op 2 player mode New Super Mario Bros. Wii style. The second player takes the role as Diddy Kong. While this makes the game easier somewhat, your amount of extra lifes is shared, so it's important both players stays alive to make it through the stage. Diddy Kong will also appear in single-player where he will ride Donkey's back instead, giving him extra hearts, jump boosting Jetpack and infinite roll distance.Some differences from the previous games:Donkey and Diddy can now take two hits instead of just one.You can't control Diddy Kong in single player, he will ride Donkey's back instead.No swimming stages.Kremlings and K.Rool will not appear in this game, DK is fighting the Tiki Tak Tribe.Rambi the Rhino and Squawks the Parrot will be the only returning Animal buddies. Rambi does same as he did in previous games while Squawks helps the Kongs find secrets.Cannon barrels might launch you into the background or foreground.Graphics is in real 3D instead of pre-rendered. </div>  <div> Worlds and Levels : Ground slap: Stand still and shake the remote and nunchuck to pound the ground, this stun nearby enemies, activate switches and may shake something loose nearby.Roll: Shake the remote while running will make Donkey Kong roll a short distance, this will hurt enemies. With Diddy on his back he can roll forever.Kong Blow: Shake the remote while holding the controlstick down to make DK blow air, this can be used to solve puzzles and blowing air on things like bushes may make a collectable to pop up.Climbing grass surfaces: When you see grass on the walls or ceiling you can hold B and grab on it, allowing DK to climb along it. </div>  <div> Music : Diddy Kong is always player 2, or he is riding on Donkey's back in single-player. He can do everything Donkey can, but also have some extra moves Donkey can't do.Jetpack: He can use his jetback to hover in the air in a short time. Hold the jump button to use it. While on Donkey's back he can carry him too, and Rambi the Rhino. ( woah )Peanut gun: 2 player only, when Diddy do the Ground slap move he shoots peanuts in the direction he is facing, this can only stuns enemies. </div>  <div> Pre-Order Bonuses : DK and Diddy work together to evade fire from pirates.Bananas are all over the stages, grab 100 to get an extra life.They often mark where to go, lead you to hidden places and even makes a Puzzle Piece appear if you collect all the bananas within a area at some points in the game.BalloonsSometimes you will spot red balloons floating in the stage, grab it to get a extra try (extra life).In single player, you will use one balloon to respawn from the check point.If one of the players die in 2-player, that player can press A or 1 button to use one balloon to respawn as a floating DK barrel from top of the screen, the other player must then break it open to allow the fallen player to join the game again. If both players is dead at the same time, it will cost two balloons to respawn from the previous check point. (Only DK aka player 1 will respawn if you only have 1 balloon left)If you die with no balloons left it's Game Over and you're kicked out of the stage and back to the map screen. </div> "
Donkey Kong Country 2: Diddy's Kong Quest,Rare,Nintendo,"November 20, 1995",snes,"When Donkey Kong is kong-napped by the evil Kaptain K. Rool, it's up to nephew Diddy (and his girlfriend Dixie) to traverse Crocodile Isle to rescue him!",3030-16889,16889,0,1995-11-21,https://www.giantbomb.com/donkey-kong-country-2-diddys-kong-quest/3030-16889/,PEGI: 3+," <div> Overview : Donkey Kong Country 2: Diddy's Kong Quest (known in Japan as Super Donkey Kong 2: Dixie & Diddy) is a 2D platformer developed by Rareware and published by Nintendo for the Super Nintendo Entertainment System on November 20, 1995.The sequel to Donkey Kong Country, Diddy's Kong Quest puts players in the role of Donkey Kong's nephew, Diddy Kong, as he must venture through Crocodile Isle with his girlfriend Dixie Kong to rescue his uncle from the clutches of Kaptain K. Rool. Along they way, they encounter new puzzles, traps, and animal companions.A direct sequel was released a year later, titled Donkey Kong Country 3: Dixie Kong's Double Trouble!. The original game was later ported to the Game Boy Advance on November 15, 2004 (adding new mini-games and unlockable concept art) and digitally re-released on the Virtual Console for the Wii on May 21, 2007, Wii U on February 26, 2015, and New Nintendo 3DS on April 14, 2016. </div>  <div> Gameplay : ItemsBananas: A common item in the DKC universe that come in singles and bunches of 10. Collecting 100 bananas will earn the player an extra life.Banana Coins: Used as currency to purchase services from various members of the Kong family (i.e. Swanky Kong's Bonus Bonanza). In the Game Boy Advance version they can also be used to fight a rematch against a defeated boss. They can be found throughout most of the levels of the game.Kremkoins: Used to bribe Klubba into allowing Diddy and Dixie access to the Lost World. These are given as rewards for completing bonus games that are accessed via bonus barrels. Typically there are two to three bonus barrels to be found in each level. </div>  <div> Characters : Dixie Kong: Diddy Kong's girlfriend and one of the protagonists of the game. Dixie is slower than Diddy but can twirl her long ponytail to slow her decent helping her reach further distances. She can also use her pony tail to defeat enemies.Diddy Kong: Donkey Kong's sidekick and boyfriend of Dixie Kong. Diddy Kong is quick and can use a cartwheel attack to defeat enemies.Cranky Kong: Donkey Kong's father and the original Donkey Kong from the arcade game. He helps Diddy and Dixie by giving them tips and hints on levels. He is also the host of the minigame Expresso Racing in the Game Boy Advance version.Wrinkly Kong: Wife of Cranky Kong. She provides a place for Diddy and Dixie to save their game.Funky Kong: Owner of the Funky Flights service which allows Diddy and Dixie to travel to other areas of Crocodile Isle.Swanky Kong: Host of the game show Swanky's Bonus Bonanza where Diddy and Dixie can earn extra lives by answering quiz questions.Candy Kong: Only appears in the Game Boy Advance version as Swanky's assistant. </div>  <div> Worlds and Levels : Rambi: A rhinoceros who also appeared in the original Donkey Kong Country. Rambi is able to use his horn to ram into enemies and has the ability to jump on any type of enemy (including Zingers) without getting hurt. He can also use a special charge attack which increases his speed for a short amount of time and gives him the ability to destroy breakable walls revealing secrets.Enguarde: A swordfish who, like Rambi, also appears in the first game. Also like Rambi, Enguarde possesses a special charge attack that increases his speed for a short amount of time and gives him the ability to destroy breakable walls. He can also use his pointy nose to pierce enemies.Squawks: A parrot who also appears in the original game. Squawks can fly and is able to attack enemies by shooting pellets out of his mouth. He can also aid the Kongs by holding a lantern in his talons to light up dark areas.Rattly: A Rattlesnake who makes his debut appearance in Donkey Kong Country 2. He can jump high and reach areas that the Kongs cannot. His special move is a charge jump that gives him the ability to jump extra high. He can jump on enemies to defeat them and, like Rambi, can jump on any type of enemy.Squitter: A spider who also makes his debut in this game. Squitter has the ability to create platforms made out of web helping him cross large gaps or reach new heights. He also has a web attack that can be used to defeat enemies, and he cannot jump on enemies without getting hurt.Clapper: A seal who, in Lava levels, can cool down the water for a short period of time making it safe to swim in for the Kongs. In one other level he actually freezes the water instead of cooling it down. This allows the Kongs to travel over the water avoiding the Snapjaws who lurk in the waterExpresso II: Not to be confused with the animal buddy named Expresso, Expresso II is an ostrich who is exclusive to the Game Boy Advance version of the game. Cranky Kong bought Expresso II in hopes of turning him into a racing bird. However, he starts out very weak and in order to build up his stats and increase his size the Kongs must collect golden feathers. Once he is strong enough he can be used to race against other ostriches in the minigame Expresso Racing.Glimmer: An angelfish who only appears in one level. He helps light the way for the Kongs in the dark waters of Glimmer's Galleon.Flapper: A parrot who is similar in appearance to Squawks except he is blue instead of green. Like Glimmer, Flapper only appears in one level where he helps the Kong descend through a hive of Zingers. </div>  <div> Soundtrack : Krow: The boss of Gangplank Galleon, Krow is a large Mini Necky who wears a pirate hat. Krow will first attempt to drop an egg on the Kongs, then attempt to ram into them. He can be damaged by throwing his own eggs back at him. After taking a few hits he will begin ramming into his nest causing several eggs to fall out of it which can hurt the Kongs if they come into contact with them.Kleever: The boss of Crocodile Cauldron, Kleever is a giant sword who is possessed by a lava spirit. Kleever will attack the Kongs by throwing fireballs at them and after a set a number of fireballs have been thrown and cannonball will spawn. This cannonball can be thrown at Kleever to damage him. After being hit several hooks will appear spreading out along the top of the screen and Kleever will begin chasing after the Kongs attempting to slash them. The hooks can be used to avoid this attack.Kudgel: The boss of Krem Quay, Kudgel is a large kremling who looks similar to Klubba. He jumps into the air and attempts to land on the Kongs, when he lands he creates a shockwave which can paralyze the Kongs for a short period of time if they do not jump to avoid it. After doing this a few times he will swing his club then do a small jump which makes a TNT barrel appear. This barrel can be thrown at Kudgel to damage him. When low on health he will begin doing shorter jumps in quicker succession.King Zing: The boss of Krazy Kremland, King Zing is a giant Zinger who is fought using the animal buddy Squawks. In the first phase of the fight he will fly around the room in a pattern, Squawks can hurt him by firing a pellet at his stinger. Once hit he well turn red (making him temporarily invincible) and fire 3 sets of spikes in all directions. After a number of hits, the second phase of the fight will begin. King Zing turn into a normal sized red Zinger and he will be surrounded by normal Zingers. In order to make him vulnerable to attacks, all the Zingers surrounding him must be defeated. Once they are defeated King Zing will turn yellow and can be finished off.Kreepy Krow: The boss of Gloomy Gulch, Kreepy Krow is the undead ghost of the first boss in the game, Krow. He summons three ghost Mini Neckies to attack the Kongs, then one real one. After the Kongs defeat the real Mini Necky a barrel will appear that can be thrown at Kreepy Krow to hurt him. After he his hit he will fly upwards and the Kongs must climb up a ways to reach him. While climbing up, eggs will be falling from the sky which can hurt the Kongs. This pattern is repeated until the Kongs reach the top of his nest where one more hit will defeat him.Kaptain K. Rool: The final boss and main antagonist of the game, Kaptain K. Rool is King K. Rool in disguise. He attacks the Kongs by shooting cannon balls from his gun in various patterns and by sliding from one side of the room to the other. He can be hurt by throwing one of his cannonballs back into his gun causing it to explode in his face. After he is defeated Donkey Kong will break free from his ropes and uppercut King K. Rool into the waters of the Lost World. After beating all the levels of the Lost World, the Kongs can battle King K. Rool again and defeat him for good. </div> "
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Rare,Nintendo,"November 22, 1996",snes,"In the final chapter of the original Donkey Kong Country trilogy, both Donkey Kong and Diddy Kong are missing. It's up to Dixie Kong (and her younger cousin Kiddy Kong) to find them!",3030-4547,4547,0,1996-11-22,https://www.giantbomb.com/donkey-kong-country-3-dixie-kongs-double-trouble/3030-4547/,ESRB: E," <div> Overview : Donkey Kong Country 3: Dixie Kong's Double Trouble! (known in Japan as Super Donkey Kong 3: Nazo no Krems Shima, or Mystery of Krems Island) is a 2D platformer developed by Rareware and published by Nintendo for the Super Nintendo Entertainment System on November 22, 1996.The third and final installment of the original Donkey Kong Country trilogy, Donkey Kong Country 3 has both the titular gorilla and his nephew Diddy Kong missing-in-action in the Northern Kremisphere. It's up to Diddy's girlfriend, Dixie Kong, and her younger cousin Kiddy Kong, to traverse the kremling-infested lands to search for them.The game was later ported to the Game Boy Advance on November 7, 2005 (adding new levels, a new soundtrack, and new mini-games) and digitally re-released on the Virtual Console for the Wii on December 24, 2007, Wii U on February 26, 2015, and New Nintendo 3DS on June 2, 2016. </div>  <div> Gameplay : The game's first boss, Belcha. Donkey Kong Country 3 retains the same gameplay from the previous two installments but with some new additions. One of the new additions is the use of vehicles on the world map screen. Unlike the plane used in the previous games, these vehicles range from a motorboat to a helicopter and help Dixie and Kiddy Kong get to different locations throughout the northern Kremisphere, as well as secret places that would be unreachable otherwise.The two kongs make their way through various levels like woodland areas and mechanical factories picking up all sorts of items along the way whether it be bananas, coins or balloons representing extra lives. They are once again aided by animals to guide them in defeating the kremling krew and other enemies that are about.In this edition, the Kong family are joined by the Brothers Bears who are situated all throughout the northern Kremisphere. They have their own dilemmas and will help Dixie and Kiddy in their adventures in exchange for bear coins and certain items found throughout the world.Hidden throughout the northern Kremisphere are caves that contain an important part of the game, banana birds. In order to free the birds from their crystallised cages, the Kongs have to match the sequence of sounds that play for them when they enter the cave. Some are given to them by the bears in exchange for helping them out. In order to unlock the true ending, the player must obtain all 13 banana birds throughout the land. </div>  <div> Characters : Dixie Kong - Girlfriend of Diddy Kong who can use her ponytail to glide along and reach certain places throughout the land.Kiddy Kong - Cousin of Dixie Kong who can use his weight to his advantage in certain scenarios. </div>  <div> Worlds : Wrinkly Kong - Having quit her job as a school teacher, Wrinkly now spends her time exercising, sleeping and playing games in her cave. She is always there to save the game's progress and keeps the rescued banana birds.Swanky Kong - Is the host of his own sideshow attraction where Dixie and Kiddy can play for prizes including bananas, bear coins and lives.Cranky Kong - Is the opponent in Swanky Kong’s sideshow attraction. Does not give advice in this edition of the series.Funky Kong - Owns Funky’s Rentals and helps develop new vehicles for the Kongs in order to reach new areas of the northern Kremisphere. </div>  <div> Animals : Bazaar - Runs his own general store on the world map and helps the Kongs in exchange for bear coins.Barnacle - Found in Lake Orangatanga and wants the Kongs to help him complete his shell collection.Brash - Found in Kremwood Forest and is proud of his record for the fastest playthrough of Riverside Race, until the Kongs beat it that is.Blunder - Found beside Kremwood Forest. He tends to blab out important information like the location of the lost world, Krematoa.Blue - Found in Cotton-Top Cove. Is quite unhappy, as he believes his brothers have forgotten his birthday.Bazooka - Found in Mekanos. Is an old general who operates a cannon known as Big Bessie.Bramble - Has a flower shop near Cotton-Top cove.Blizzard - Found in K3. The only bear of the family that actually got Blue a present for his birthday but needs the Kongs to deliver it for him.Benny & Björn - Found in Razor Ridge. They operate the chair lifts so that Dixie and Kiddy Kong can get through the area.Barter - Like Bazaar, also runs a shop on the world map.Baffle - Found in KAOS Kore. He specialises in cracking codes that help the Kongs on their adventure.Boomer - Found in Krematoa. Will help the Kongs make their way through Krematoa by blasting the rocks blocking their path. He does this in exchange for bonus coins.Bachelor - Found in the GBA version of DKC 3 in Lake Orangatanga. Wants Dixie and Kiddy to get chocolates and flowers for a date he is having. </div>  <div> Coins : Baron K. RoolensteinBelcha: Giant man-eating barrel that resides in a mill at Lake Orangatanga.Arich: A large red spider faced at Kremwood Forest.Squirt: An odd looking face that squirts jets of water, encountered at Cotton-Top-Cove.Bleak: An evil living snowman met at K3, utilizes cannonballs in the form of snowballs.Barbos: Some sort of spiked...clam. It fires needles and nautilus (type of shelled fish) missiles at the Kongs, faced at Razor Ridge.KAOS - Considered to be the new leader of the Kremling Krew. However, it is actually being controlled by the true leader, Baron K. Roolenstein otherwise known as K. Rool. It is first encountered at Makanos and then at KAOS Kore at the end of the game.Baron K. Roolenstein (K.Rool) - Created and operated the mechanical robot known as KAOS in a bid to stop Dixie and Kiddy thwart his evil plans; The final boss, faced at KAOS Kore and at the lost world of Krematoa. </div>  <div> Game Boy Advance Version : In Donkey Kong Country 3, there are eight worlds altogether (nine in the GBA version) including the lost world of Krematoa. Each world has 5 stages and a boss at the end for the Kongs to defeat. The worlds are as follows: Lake Orangatanga, Kremwood Forest, Cotton-Top Cove, Mekanos, K3, Razor Ridge, Pacifica, KAOS Kore, Krematoa. </div>  <div> Soundtrack : Lakeside LimboDoorstop DashTidal TroubleSkidda's RowMurky MillBoss: Belcha's Barn </div> "
