Title,Developer,Publisher,First released,console,guid,deck,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Godzilla The Series,Crawfish Interactive,Crave Entertainment,"March 1, 2000",gbc,3030-22889,"A side-scrolling on-rails game based upon the Godzilla TV Series, which was based upon the Amercan Godzilla movie.",22889,0,1999-11-16,https://www.giantbomb.com/godzilla-the-series/3030-22889/,ESRB: E," <div> Overview : Godzilla chilling  downtownAfter 1998, the year that saw the release of an Americanized   Godzilla, the filmmakers were stumped as to where to go next. The film hadn't done terribly at the box office, but sales certainly hadn't been what the film's creators were hoping for. A planned trilogy, the sequels were lying around and people weren't sure what to do with them. In the end, the concept turned into  Godzilla: The Series, a Saturday morning cartoon airing on Fox Kids. This cartoon actually turned out to be quite successful so... as one might imagine, a video game was to follow.    Crave Entertainment published and   Crawfish Interactive developed the game of the same name for the     Game Boy Color. Released in 1999, the game was played in an on-rails format. Players took control of the        towering giant himself and went to work in defeating numerous foes unleashed by a...         certain someone. Players could not move Godzilla left or right, but they could make him crouch; A and B functioned as attack buttons. Players went through the levels bringing down the military forces until reaching a monster boss at the end of the level. </div> "
Gold and Glory: The Road to El Dorado,Planet Interactive,Ubi Soft,"August 4, 2000",gbc,3030-11290,"Based on the animated film by DreamWorks, Gold and Glory is an adventure game by the creators of the Broken Sword franchise.",11290,0,2000-12-20,https://www.giantbomb.com/gold-and-glory-the-road-to-el-dorado/3030-11290/,,
Grand Theft Auto,Tarantula Studios,Rockstar Games,"October 1, 1999",gbc,3030-13567,Grand Theft Auto is a free roaming crime saga with multiple settings and a top-down view.,13567,0,1997-11-28,https://www.giantbomb.com/grand-theft-auto/3030-13567/,ESRB: M," <div> Overview : Grand Theft Auto was originally released in 1998 for the  Playstation and  PC. The game is set in three different fictional cities:  Liberty City,  Vice City and  San Andreas. Each city is  loosely based on a real-life city. Liberty City is based on  New York, Vice City is similar to  Miami, and San Andreas is loosely adapted from  Los Angeles.The main character is dropped into the game world and does various odd jobs for the local  crime bosses. Progress through the different cities is done by earning money from completing missions assigned from various pay phones. </div>  <div> Evolutionary Differences : A number of major differences exist between Grand Theft Auto's design and that of the later games in the series:Mission failure is strict and inflexible. There is no option to return to a failed mission, it is simply gone forever.Money can be earned from  killing people and crashing cars.Three distinctly different cities are included. Subsequent games in the franchise would go on to focus on just a single city, with the  Grand Theft Auto III trilogy re-imaging the three cities contained in this game.The only modes of transportation are ground-based vehicles and walking/running. Boats, planes and other, more exotic forms of transportation were not included in the game.Support for internet and LAN multiplayer game modes. These would not officially return again until  Grand Theft Auto IV, though there would be unofficial patches to Vice City and San Andreas' PC versions to include similar functionality. </div>  <div> Characters : The PC version of the game lets players pick from eight characters while the playstation version only lets players choose the four male characters. There is no difference in the characters in the actual gameplay, the only real difference is when players change the characters name.TravisKatNikkiDivineTroyKivlovUlrike </div>  <div> Soundtrack : Genre: Funk*Ghetto Fingers - ""On The Move""*Ashtar - ""Aori""*Stylus Exodus - ""Pootang Shebang"" </div>  <div> Freeware Release : Genre: Trance*Retrograde - ""Benzoate""*Government Listening Post - ""E104""*Trancefer - ""Figiwhiz"" </div>  <div> PC System Requirements : Genre: Techno*Animal Testing Centre - ""DSP""*Rotorman - ""Ride""*Technophiliak - ""Lagerstar"" </div> "
Grand Theft Auto 2,Tarantula Studios,Rockstar Games,"November 10, 2000",gbc,3030-10593,"A direct sequel to the original Grand Theft Auto and also the last 2D Grand Theft Auto game to come out until Grand Theft Auto Advance, five years later.",10593,0,,https://www.giantbomb.com/grand-theft-auto-2/3030-10593/,ESRB: M," <div> Overview : The top-down view that GTA was once known for.Grand Theft Auto 2 was the sequel to DMA's "" Grand Theft Auto"" which was a PC and Playstation title. Grand Theft Auto 2 would have a similar top down style to the original game, but with enhanced game mechanics and graphics. This was the last of the Grand Theft Auto games to use a strict top down camera. The game was first released on the original Playstation in October 22, 1999 and then two days later for PC. Grand Theft Auto 2 was also ported to both Game Boy Color and Dreamcast. There has been some criticisms of all versions that the storyline was lackluster and that the rewards for completing missions was disproportionate to the cost of items in-game. </div>  <div> Multiplayer : The PC version of GTA2 included IP to IP multiplayer. This means that there were no server browsers and that most games were privately hosted in an era when broadband connections still had relatively low market penetration. The multiplayer had severe lag due to this networking model and was called ""unusable"" by most users. It should be noted that once someone is in Multiplayer, the map is drastically reduced, and most AI features are turned off. </div>  <div> Soundtrack : Head RadioApostles of Funk - Yellow ButterPussywillows - Real LoveDavidson - All I Wanna DoThe One - SouthparkBula Matari - Taxi DriversFlytronix - PendulumAnna - Do It On Your OwnTesting - My Tiny WorldStikki Fingerz - Holdin' It Out For YouConor & Jay - Vegas RoadTrack 7 - I Wanna PhunkKREZNegro Vs. Conner - Showin' Me LoveE=MC Good Times - Jacking In HilltownFlytronix - Past ArchivesNumb - How It's DoneLo-Fi FMStylus Exodus - Toucan PieBert Reid's Guitar Trio - A Cool Day In DowntownTammy Boness & The Swingin' Mammaries - The DinerCow Tastes Good - Surf CityFuturo FMReed - L.E.D.Davidson - All I Wanna DoZaibatsu PromoSpangly Feet - Dazed & ConfuzedStylus Exodus - Toucan PieFunami FMToys Are Real - FlymuthaFuture Loop - Garage Acid4 How Much 4 - O2NIdo - BallbusterLithium FMTammy Boness & The Swingin' Mammaries - The DinerVoice Box - COMPUTER LUSTRev. Rooney & The Rocksta Choir - God Bless All The UniverseRebel Radio/KINGBula Matari - Taxi Drivers (Must Die)Testing - My Tiny WorldStikki Fingerz - Holdin' It Out For YouSterlin - Standing On My OwnOsmosis RadioDavidson - All I Wanna DoPussywillows - Real LoveAnna - Do It On Your OwnTrack 7 - I Wanna PhunkHeavenly RadioRev. Rooney & The Rocksta Choir - God Bless All The UniverseSterlin - Standing On My OwnZoneboys - Amazing GraceKGBHCow Tastes Good - Surf CitySpangly Feet - Dazed & Confuzed </div>  <div> Free release : On December 23rd, 2004, Rockstar announced that it would give away both Grand Theft Auto and Grand Theft Auto 2 as freely downloadable packaged from their website. The core game remains unchanged, but it has been tweaked in order to natively work within Windows XP and Windows Vista. There have been isolated reports that the game intermittently crashes, but many users find it to be fully playable without any issues at all. </div>  <div> PC System Requirements : OS: MacOS X 10.6.7 or higherProcessor: Core 2 Duo 2.4 GhzMemory: 2GB RAMHard Disk Space: 6GB of free HDD spaceGraphics: SVGA color monitorDirect® X: DirectX 6.1Sound Card: SoundBlaster compatibele sound cardVideo Card: 3D acceleration with 8 Mb RAM </div> "
Hamtaro: Ham-Hams Unite!,Pax Softonica,Nintendo,"January 10, 2003",gbc,3030-5033,"Hamtaro: Ham-Hams Unite! is an adventure game developed by Shogakukan, being the last officially released Game Boy Color game in the United States and Europe.",5033,0,2001-04-21,https://www.giantbomb.com/hamtaro-ham-hams-unite/3030-5033/,ESRB: E," <div> Zones  : The game features multiple zones to find Ham-hams, complete tasks, and solve puzzles in.   </div>  <div> Ham-chat  : The main hub of the game. Here you can see the Ham-hams you have found, check which are still missing, and perform Ham-jams to Ham-chat moves.    </div> "
Starstruck: Hands of Time,Mirage,Titus Software,"June 29, 2001",gbc,3030-72832,Starstruck is a rhythm-based adventure game with some god-game elements.,72832,0,,https://www.giantbomb.com/starstruck-hands-of-time/3030-72832/,,
Harley-Davidson: Race Across America,Running Dog Software,WizardWorks,,gbc,3030-11393,,11393,0,,https://www.giantbomb.com/harley-davidson-race-across-america/3030-11393/,ESRB: E,
Harry Potter and the Chamber of Secrets,Griptonite Games,Electronic Arts,"November 15, 2002",gbc,3030-8370,"Harry's second year at Hogwarts is marked with whispers about his parentage, snakes, and strange spells causing students to nearly be killed.",8370,0,2002-11-14,https://www.giantbomb.com/harry-potter-and-the-chamber-of-secrets/3030-8370/,ESRB: E," <div> Overview : Harry Potter and the Chamber of Secrets is a game published by EA based on J. K. Rowling's Harry Potter franchise. Specifically, the game is based on the second book and film in the series of the same name. The game follows the plot of the book for the most part, although random missions were thought up to add length to the game, like multiple missions where Harry havs to save or help other pupils. </div>  <div> Gameplay : Inside Hogwarts.The game starts out at Ron Weasley's house, where some chores must be taken care of in which the player will play some mini-games.After that, the player gets sent to Diagon Alley. Here, the game actually adds the first additional gameplay sequence by expanding on the little side trip Harry makes.After this sequence, the player gets taken to Hogwarts, where the game begins in earnest.Harry Potter and the Chamber of Secrets' gameplay is somewhat similar to that of Bully (Canis Canem Edit or Bully: Scholarship Edition), Rockstar's over-the-top highschool simulator.The player will need to take classes to advance the story. Upon taking one of the classes, the player will be sent into a backroom of the classroom in order to retrieve a spellbook associated with that class. The player will come across a spell that turns giant blue eggs into birds if the ""Transfiguration"" class is taken, while the ""Incendio"" spell that sets object aflame will be learned in the ""Defense against the Dark Arts"" class.In between classes, players can also take missions from pupils. The game has a day/night cycle, and some missions must be done during nighttime. When it's dark, prefects will roam the halls of Hogwarts, as well as the grounds outside. Like in the books, there is always a contest going on between the houses in points, which are gained by doing things well in the classes. If the player is caught by a prefect or Filch however, some points will be lost. Magical trick items like dungbombs and certain spells to distract these watchmen can be purchased.While missions are not being done, Hogwarts castle and the grounds surrounding it can be freely explored.There are some odd jobs that can be done as well. the player can become champion of the dueling club, trade stuff with fellow pupils, attempt to make other houses lose points and run people over with a broom. </div>  <div> Additional Information : The Lumos spell reveals more than might be imaginedThe player will eventually receive a broomstick, the Nimbus 2000. This broom can be obtained at any time while outside, though not in missions where the player has to go to the Forbidden Forest. This can actually be used to make certain missions easier, for instance; in one mission, school prefects must be avoided while trying to get across the school grounds in order to get to Hagrid's house. The broom can be used to fly across the school grounds, avoiding that part of the mission entirely. The broomstick can also be used to reach otherwise inaccessible part of the castle, like certain rooftops.There are huge differences between the PlayStation and PlayStation 2/Xbox versions of the game. For instance, while Harry travels to Diagon Alley with flu powder, things go wrong. On PlayStation, the player must attempt to keep Harry on the middle of the slide with the analog stick. On PlayStation 2 however, this sequence is not present at all, and the player simply gets dropped off in a cutscene. This is one of the few examples of the PlayStation game having more content in a gameplay sequence. For the rest of the game, this tends to be the other way around. </div> "
Harry Potter and the Philosopher's Stone,Griptonite Games,Electronic Arts NA/EUEA Victor JP,"November 16, 2001",gbc,3030-577,Take control of the world's most famous wizard as he enters the school of Hogwarts.,577,0,2001-11-15,https://www.giantbomb.com/harry-potter-and-the-philosophers-stone/3030-577/,ESRB: E," <div> Overview : Harry Potter and the Philosopher's Stone is the video game based off the best selling book and box office hit movie of the same title. What started as a novel craze and moved into every other medium, Harry Potter and the Philosopher's Stone is the first entry into the seven part Potter series. </div>  <div> Story : The Philosopher's Stone maintains the passive narrative of the novel. Harry attends classes, and earns points for Gryffindor house based on the quality of his work, while the story waits for something to happen.While the stories of video game and novel Harry Potter hit the same main points, the actual worlds differ greatly. For example, video game Gringotts seems to provide money based on the amount a person can gather from the scattered vaults while being hurdled past them at breakneck speeds and dodging intentionally placed beams of wood. Even before that, the goblins force their patrons to collect documents scattered on their waxed, slippery floor. All just to strap into the mine cart in the first place.While the game is not technically proficient, or for the most part fun, it still appeals to the younger Potter audience eager to try their hand in the Wizarding world. </div>  <div> Collectibles : Harry Potter may choose to collect four types of Bertie Bott's All Flavor Beans. The video game Weasley twins trade them for secret phrases Harry needs to get past four portraits. Harry steals an unknown someone's hidden property, such as the Nimbus 2000, from behind these portraits.There are also 24 Famous Witches and Wizards cards to collect. They can be obtained by either finding them hidden throughout Hogwarts or will be awarded to you for completing certain tasks. </div> "
Harvest Moon 3 GBC,TOSE,Natsume NANintendo EU,1999,gbc,3030-14184,"The third Harvest Moon release on Game Boy. A direct sequel to Harvest Moon 2, it is set on an island off the mainland, the player is tasked with reviving the farm and turning around it's fortunes using two unique playable characters, a first for the series.",14184,0,2001-11-14,https://www.giantbomb.com/harvest-moon-3-gbc/3030-14184/,ESRB: E," <div> Overview : The second and final Harvest Moon game to be released on Game Boy Colour, it is a direct sequel to Harvest Moon 2. Released only in Japan and later the US, it features a variety of different features that have gone on to become staples of the Harvest Moon franchise, such as multiple animals and horse racing.It differs from the previous handheld installments in that there are two playable characters, a boy and a girl. </div>  <div>  : PeteBoy (Pete)Is invited by Mr. Heinz to help run the farm with the girl character following his successes in Flower Bud Village. SaraGirl (Sara)Takes over her fathers farm after travelling for many years. Has no experience in farming but is proficient with animal care.  </div>  <div> Characters : The boy character from Harvest Moon 2 is approached by a man called Mr. Heinz who informs him of an opportunity to revive a small farm on an island. The farm was originally run by the girl character's father and has since been left in disuse. The girl has taken up ownership of the farm but is inexperienced, and so Mr. Heinz asks the boy to help her.  </div> "
Harvest Moon GBC 2,Victor Interactive Software,Victor Interactive Software JPNatsume NAUbisoft EU,"March 30, 2001",gbc,3030-23721,"The second Harvest Moon game released on the Game Boy Color, Harvest Moon 2 GBC is a farming simulation in which the player assumes the role of either a boy or a girl who is left a farm and given three years to turn its fortunes around.",23721,0,1999-08-06,https://www.giantbomb.com/harvest-moon-gbc-2/3030-23721/,ESRB: E," <div> Overview : Harvest Moon GBC 2 is a farming simulation game that was developed by Pack-In-Video for the Game Boy Color platform.The game made a number of improvements over Harvest Moon GB, such as the ability to build a greenhouse (allowing you to grow crops year round regardless of season), as well as the introduction of the ability to rear sheep on your farm. </div> "
Harvest Moon: Boy & Girl,Victor Interactive Software,Victor Interactive Software JPNatsume NA,,gbc,3030-22613,"Harvest Moon: Boy &amp; Girl is a direct PSP port of the PlayStation game, Harvest Moon: Back to Nature. The only difference is that you have the option of playing as a boy or a girl.",22613,0,2007-07-31,https://www.giantbomb.com/harvest-moon-boy-girl/3030-22613/,ESRB: E," <div> Overview : Harvest Moon: Boy & Girl is another instalment in the farming simulation series that was developed by Marvelous Interactive exclusively for the PlayStation Portable, and received a North American release in 2007.The game itself is a port of Harvest Moon: Back to Nature for the original PlayStation, and features all of the same characters and locations. This time around, the game allows the player to control either a male or a female character (previously this option was only available in Japan under the release of the game Harvest Moon For Girls). </div>  <div> Story : The player inherits their grandfather's farm, and is tasked with bringing it back up to standard. The village residents have given the player a limited amount of time to rectify the situation.If, after three years, the farm is in a state of disrepair or the player has failed to engage with the other villagers, then the player will be asked to leave. </div>  <div> Animals : There are a number of different animals that can be reared within the game; </div> "
Hello Kitty's Cube Frenzy,Torus Games,NewKidCo,"March 30, 2001",gbc,3030-32678,"A Hello Kitty brick game for the GBC and PlayStation. Blocks fall from the sky Tetris-style, but these are used to build steps for Kitty to advance.",32678,0,1999-12-28,https://www.giantbomb.com/hello-kittys-cube-frenzy/3030-32678/,ESRB: E, <div> Overview : Hello Kitty's Cube Frenzy is a Falling Block game. Players try to match the correct colors in order to break them and have enough room for the next set of blocks. The game is similar to Tetris. </div>  <div> Characters : Hello KittyFloral Resort KittyChinese Robe KittyAngel KittyWedding KittySnowboarding KittySoccer KittyAstronaut KittyKimono KittyCowgirl KittyBikini KittyPochaccoPattyJimmyPurinBadtz MaruKikiLala </div> 
Hercules: The Legendary Journeys,Titus Software,Titus Software,"September 14, 2001",gbc,3030-10682,"Largely reminiscent of Ocarina of Time, the game plays like a Zelda-lite adventure. Due to a combination of this, goofy dialogue, and a variety of technical issues; the game is not remembered fondly.",10682,0,2000-11-16,https://www.giantbomb.com/hercules-the-legendary-journeys/3030-10682/,," <div> Overview : Hercules: The Legendary Journeys is a Nintendo 64 and Game Boy Color game from Titus (based on the hit television show). It centers around one of the most popular Grecian myths, that of Heracles, or, as he is better known, Hercules. The game involves a combination of skirmishes with random enemies and bosses, elementary puzzles, and numerous trading sequences and side quests similar to the ones found in Legend of Zelda: Ocarina of Time. The player can also play as two of Herc's friends, Lolaus and Serena (or the Golden Hind, as the half woman, half horse character is referred to in the game): they each have their own unique attacks and weapons. Legendary Journeys is known to have many bugs and technical issues (alongside its clunky controls) that make the game frustrating and unnecessarily difficult in numerous places. This game proved to be another high profile failure for the once beloved Titus as it continued to plunge deeper into the territory of poorly developed action/adventure games; directly following the release of the critically-despised Superman 64. </div>  <div> Playable Characters : Though Hercules is the primary player character, the player does take control of Lolaus and the Golden Hind during certain moments of the game. Each of these characters have a unique control scheme; unfortunately, perhaps due to a lack of care in the game's development, the other two characters are both exceedingly difficult to control and considerably weaker than Hercules. Nonetheless, the character's attributes are listed below: Hercules - The strongest and most primarily used of the characters, Hercules' primary attack is the punch by way of pressing the B button. Upon holding the B button, Hercules can also use a ""super punch"" that does greater damage and can be used to break through weakened walls. Furthermore, although all characters will stun enemies after a certain number of hits (bosses excluded), Hercules is the only character capable of picking up and throwing enemies; instantly killing both the enemy and any other enemies with which the thrown one makes contact. Furthermore, Herc is the only character that can purchase potions from the tavern owner (who exists in all of the game's towns) that unleash lavish special attacks centered around four elements: earth, fire, lightning, and ice. The earth potion drops rocks from the sky upon his unexpecting enemies; the fire potion unleashes burning balls of molten lava upon Herc's adversaries; the lightning potion performs a similar attack by way of giant, thundering lightning bolts; and the ice potion temporarily freezes one's foe(s). These potions are accessed via the C buttons. Although Hercules is the most overpowered of the game's characters, his portions can be nonetheless difficult to play due to a weak camera and the lack of a lock-on system.Iolaus - The sidekick of Hercules, Iolaus is useful as the only character in the game capable of climbing vines (which have an odd graphical similarity to those in Ocarina of Time). However, once he has climbed said vines and reached whatever dangers await him at the top, he is faced with the difficulty of fighting with his exceedingly underpowered staff (perhaps he is Herc's sidekick for a reason, eh?). Iolaus is also useful in one instance in which the snowy alps can only be crossed by a body small enough to fit into the only available winter coat. Iolaus cannot leave any of his designated playable areas however, if the player tries, they are met with the message: ""Perhaps I should let Herc take care of this.""The Golden Hind - Though christened Serena in the television series, the game (for some unbeknownst reason) refers to her as The Golden Hind. This lady Centaur is, in fact, the weakest of the three characters. The Hind's only method of attack is the shooting of her arrows, done in a first person mode. Although the arrows can be shot in the standard third-person perspective, they are guaranteed to strike nothing unless the enemy lies directly in front of the Hind. The first-person mode is troubling however, as the controls are so unbearably clunky and difficult to use that the player will have almost certainly lost a considerable amount of health by the time he/she was even capable of training his/her sights upon his/her adversaries. Fortunately, The Golden Hind also has the smallest amount of game time between the three characters; and, like Lolaus, is restrained to her respective areas with a message identical to his. </div> "
Heroes of Might and Magic V,KnowWonder,The 3DO Company,"October 20, 2000",gbc,3030-1915,"Heroes of Might and Magic V is a Turn-based strategy game with role-playing elements. Developed by the Russian developer, Nival and published by Ubisoft in 2006, and it is the fifth main game in the Heroes of Might and Magic franchise.",1915,0,2006-05-23,https://www.giantbomb.com/heroes-of-might-and-magic-v/3030-1915/,PEGI: 12+," <div> Gameplay : The gameplay in HoMM V is the same as previous games in the series, although now the game engine is 3D. There are 2 types of game modes, campaign and custom game, the gameplay elements remain the same in both modes however. The campaign mode is where the story of Heroes of Might and Magic V is told, in which different races deal with the demon invasion and their problems. Custom game, as the name suggests, is well, a custom game. The player chooses from a number of different maps. The objectives of each map vary from finding the tear of Asha, to defeating all enemies to special scenarios, each map also has a size associated with it. The sizes range from normal to very big. The maximum number of players for a custom game is 8. Before starting the custom game the player may choose his faction, his first hero, a random amount of resources, gold or a minor artifact as well as a adjusting the same for the computer controlled players, or they may leave everything to chance. The player may also adjust teams and colors of each player.     </div>  <div> Campaign : At the begining of each scenario, the player is given one hero, a town and some resources. The player then, must expand by capturing mines, dwelling and destroying creeps. Each day the player receives gold and resources from resource producing buildings such as mines or lumber mills. These objects must remain in the control the player if he wishes to gain resources. Resources are used to construct buildings and create level 7 creatures.   The town is where you'll recruit your armies, heroes as well as adding war machines to a hero's army. Each faction has their own unique buildings, that are unavailable to other factions. For example, the Academy faction has the Arcane Forge, where an Academy hero may add artifacts to stacks of units, improving them in the process. Heaven faction has a special Training Grounds building, where units may be upgraded to a greater level (Peasants become archers, archers become footmen etc).Towns also have a town level associated with them, for each building the player builds the town level increases by 1, up to a maximum of 30. The player however, does not have access to all buildings. All buildings have a town level requirement, as well as a previous building being built in the list. There are no neutral, or unoccupied towns, each town is owned by a certain player.     </div>  <div> Factions : Heroes are your commanders on the battlefield. They command armies and expand your lands. Heroes have 7 slots, where the army is located. The hero himself is not limited to a certain number of troops, but rather 7 stacks of units. Each stack can have as many units as the player wishes. But each stack must only be made up of a single type of unit. The player may also choose to divide the stacks of units in other unoccupied slots. Heroes also have some RPG elements, these include.Attack - increases the damage all creatures inflict.Defense - increases defense of all creatures, reducing damage they might take Knowledge - Increases the amount of mana the hero has by 10 for each point of knowledge Spell power - Increases spell parameters, power and duration  The hero also has 2 other additional attributes, morale and luck. These attributes can not be raised by leveling up, but rather by skills or certain objects in the world (the increase from objects is temporary, and is only available for one battle). The higher the morale, the higher the chance that a unit might decrease the time between their next action in battle. Luck works in a similar manner to critical hits, the higher the luck, the higher the chance that a unit will inflict extra damage on attack.Apart from the attributes each hero has a level, heroes gain experience by defeating enemies on the field of battle. Each time a hero gains a level they can choose a new skill. There are skills that any hero has access to, and there are some skills that only heroes of certain factions have access to. A hero may only have 5 skill. Each skill also has sub-skills that become available, each hero can only have 3 sub-skills to each skill. A total of Heroes can also learn mighty spells, that can either improve the abilities and performance of the heroes army, or destroy and curse the enemy army. There are 4 schools of magic: destruction, summoning, light and dark magic. Destruction obviously destroys enemy armies, summoning conjures powerful elementals, light buffs your own units and dark magic curses enemy units. A hero can learn new spells either by visiting various objects on the worldmap or by visiting a mages guild in their town (the mages guild must be built, and it has 5 levels). There also higher level spells, these spells can be learned only by a hero that has a mastery of the corresponding school. For example, an Armageddon spell requires a mastery in the destruction magic school. A hero may take, and improve a magic skill on level up.Along with the attributes, spells and skills, a hero also has an inventory screen where they keep artifacts. There are 9 slots, each for different types of artifacts, shields, weapons, helms, necklaces, cuirasses, cloacks, boots and rings. A hero may only have 1 artifact equipped in each slot, the rest are simply kept in inventory.  Finally, each hero is unique, having a signature skill that no other hero has.    </div>  <div> System Requirements : The game is played either on a world map, or on a battlefield. The world map contains towns, objects, dwellings (where heroes may recruit creatures), recourse producing buildings, certain objects that increase a hero's attributes etc. The player moves his hero and manages his town from the world map, a hero has a bar that limits his movement, once the bar is empty a turn must pass before the hero can move again. Each turn takes one day, and a player may only build 1 building per day. As mentioned players will gain resources and gold each day.  The battlefield is where heroes fight against monsters found throughout the world, or against other heroes. They do not battle them by themselves, but by the army they command. However, a hero is very important to an army, as they increase the power of units, can attack enemy units or even use spells to help their own army, or hinder and destroy the enemy. Also, as mentioned attributes increase the power of the hero, who in turn increases the power of his/her units. Units that aren't commanded by a hero are weak, and are easy to destroy.  The battlefield itself is arranged in tiles, the entire battlefield has 12x10 tiles. Before the battle, the player may arrange their army on 2x10 area. Once the battle starts the player takes control of his army, that are divided into up to 7 stacks of units. Once the battle starts an initiative bar becomes visible, detailing which unit takes their turn and when, it also shows when the time for your hero's turn is. The initiative of each unit determines their turn. Units can preform several actions. Wait - they wait until their next turn. Defend - they defend for a turn, increasing their defense. Move - they move around the battlefield, to get closer or further away from enemy units. Attack - they attack an enemy unit (ranged units with the shooter ability can attack from afar). Use ability - some units have a special ability they can use to help their allies or effect enemies. Spellbook - few units also have spells, the spells they have are determined by the unit, the unit cannot learn any new spells. Each stack of units can only preform one action per turn. For example, you may command a unit to move next to the enemy, but if you did not command them to attack, they will simply stand next to an enemy. Once the action is completed, a new unit gains their turn, be it an enemy unit, or yours. The game has hundreds of types of units, but each faction can only recruit 7 types of units (14 due to each unit being upgradable to a better version) from their towns. Each type of unit has several statistics that include: Attack - Where as hero's attack attribute increases the damage of units under his/her command, the attack of a creature reduces the defense effectiveness of enemy units.Defense - Decreases the damage taken by enemy attacks (magical attacks ignore this parameter)Damage - Each unit has a minimum and maximum damage parameter. So for example, Archers have damage of 2-4, so 20 archers have a chance to inflict damage anywhere between 40-80. Hitpoints - Determines how much damage a unit can take before being destroyed. Archers have 7 hitpoints, so 20 archers would have to take a 140 damage before they are destroyed.Morale - Units that have a high morale act more in a battle, units with a negative morale may loose their turn.Luck - Increases the chance of a unit inflicting extra damage.Speed - The higher the speed, the more tiles on the battlefield a unit can cross (in one turn). Initiative - Creatures that have a higher initiative will have more turns than a unit with lower initiative.  </div>  <div> Prequel :  There are 5 campaigns, each with five missions. The campaign follows the events of Ashana during the troubled times of a demon invasion. The player will take control of many unique heroes, across 25 missions, each one varying in difficulty and length. Unlike custom scenarios or skirmishes, the heroes will carry over stat gains from previous missions, which is why it is advisable to visit each stat raising object before completing a mission. Artifacts collected by heroes, unfortunately do not carry over from mission to mission. The player must complete Campaigns in order, so that he or she may advance to the next campaign. The campaigns are as follow. Heaven (Human) Campaign - The Queen ""A king falls, a queen rises"" The Queen The Rebellion The Siege The Trap   The Fall of the King Inferno (Demon) Campaign - The Cultist ""A Demon must decide""The Betrayal The Promise The Conquest The Ship Agrael's DecisionNecropolis (Undead) Campaign - The Necromancer ""The Undead rise, the Griffin falls"" The Temptation The Attack The Invasion The Regicide   The Lord of HereshDungeon (Dark Elf) Campaign - The Warlock ""A hero is forged"" The Clanlord The Expansion The Cultists The March Raelag's OfferSylvan (Elven) Campaign - The Ranger ""Defending honor and country"" The Refugees   The Emerald Ones  The Defense   The Archipelago   The Vampire Lord Academy (Mage) Campaign - The Mage ""A mage confronts evil"" The Defiant Mage The Liberation The Triumvirate  The Alliance Zehir's Hope </div> "
Heroes of Might and Magic II: The Price of Loyalty,KnowWonder,The 3DO Company,"March 16, 2001",gbc,3030-19069,,19069,0,1997-04-30,https://www.giantbomb.com/heroes-of-might-and-magic-ii-the-price-of-loyalty/3030-19069/,ESRB: K-A,
HAL's Hole In One Golf,Natsume,Epoch JPNatsume NA,,gbc,3030-30540,A golf game that uses an uncommon top-down perspective. It was the first golf game (and first sports game) for the Super Famicom.,30540,0,1991-02-23,https://www.giantbomb.com/hals-hole-in-one-golf/3030-30540/,," <div> Overview : HAL's Hole in One Golf (a.k.a. ""Jumbo Ozaki no Hole in One"") is a sequel to the 1988 FDS game Jumbo Ozaki no Hole in One Professional, as well as a continuation of earlier Jumbo Ozaki endorsed HAL golf games on the MSX. It uses the same top-down perspective as its predecessor, but has been graphically updated and showcases the Mode 7 sprite-scaling technology that the SNES would be known for.Unlike its predecessor, it was eventually released in Europe and the US. It is also the first golf game to be released for the system. </div> "
Hot Wheels: Stunt Track Driver,Lucky Chicken Games,Mattel Interactive,"June 1, 2000",gbc,3030-5636,Can you navigate the biggest hot wheels stunt course ever devised?! Take the test with Stunt Track Driver!,5636,0,1998-10-15,https://www.giantbomb.com/hot-wheels-stunt-track-driver/3030-5636/,," <div> Overview : Hot Wheels: Stunt Track Driver is a game based not off racing opponents but on racing the clock and in performing stunts.  Players race through one of the games several tracks against a clock with the aim to get to the end and pull off plenty of stunts along the way. The better you do the more cars you unlock. There are a total of twelve cars and seven tracks, including a secret one. The game has a sequel ""Stunt Track Driver 2: GET 'N DIRTY"".  </div>  <div> Cars : Red Wrecker/Towing TruckBlue Indy Car Orange Hot Rod CoupeRed Kids WagonPurple Sprint CarBlue Lamborghini Purple Jet CarBlack Indy CarRed Drag Strip RacerBlue CarNavy Blue CarYellow Sting-Ray Car </div>  <div> Tracks :  </div> "
Hoyle Card Games,Sandbox Interactive,Sierra On-Line,,gbc,3030-541,Hoyle Card Games is a collection of many different card based games.,541,0,2000-12-04,https://www.giantbomb.com/hoyle-card-games/3030-541/,ESRB: E," <div> Overview : Hoyle Card Games is a card game developed by both Sierra Entertainment (PC/Mac version) and Sandbox (Game Boy Color Version) and published by Sierra Entertainment for the PC, Mac, and Game Boy Color platforms. </div> "
Hoyle Casino,Pulsar Interactive,Sierra On-Line,,gbc,3030-3811,"Hoyle Casino features eight 'Vegas-Style' Casino games, with over 350 variations to enjoy on your home computing console and personal computer. Developed by Sierra Entertainment.",3811,0,1996-12-09,https://www.giantbomb.com/hoyle-casino/3030-3811/,, <div> Trivia : Early versions of the characters featured in the game were rendered by Will Barker in 3D developing application; 'Poser'. It  amazed the development team. </div> 
